
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 310,00          | 30,00         
1   | 540,00          | 50,00         
2   | 580,00          | 60,00         
3   | 380,00          | 30,00         
4   | 1090,00         | 100,00        
5   | 570,00          | 70,00         
6   | 700,00          | 80,00         
7   | 280,00          | 30,00         
8   | 700,00          | 60,00         
9   | 1140,00         | 100,00        
10  | 1100,00         | 100,00        
11  | 1040,00         | 90,00         
12  | 580,00          | 80,00         
13  | 360,00          | 40,00         
14  | 990,00          | 90,00         
15  | 870,00          | 70,00         
16  | 720,00          | 100,00        
17  | 740,00          | 100,00        
18  | 820,00          | 80,00         
19  | 220,00          | 30,00         
20  | 410,00          | 40,00         
21  | 740,00          | 90,00         
22  | 460,00          | 40,00         
23  | 800,00          | 100,00        
24  | 890,00          | 70,00         
25  | 450,00          | 40,00         
26  | 310,00          | 30,00         
27  | 490,00          | 50,00         
28  | 380,00          | 50,00         
29  | 430,00          | 40,00         
30  | 310,00          | 40,00         
31  | 1120,00         | 100,00        
32  | 340,00          | 40,00         
33  | 610,00          | 50,00         
34  | 670,00          | 70,00         
35  | 560,00          | 60,00         
36  | 540,00          | 50,00         
37  | 390,00          | 40,00         
38  | 380,00          | 30,00         
39  | 480,00          | 50,00         
40  | 620,00          | 70,00         
41  | 850,00          | 80,00         
42  | 880,00          | 90,00         
43  | 400,00          | 40,00         
44  | 480,00          | 40,00         
45  | 1280,00         | 100,00        
46  | 210,00          | 30,00         
47  | 920,00          | 90,00         
48  | 840,00          | 100,00        
49  | 960,00          | 100,00        
50  | 880,00          | 70,00         
51  | 1040,00         | 80,00         
52  | 430,00          | 40,00         
53  | 410,00          | 40,00         
54  | 930,00          | 80,00         
55  | 940,00          | 90,00         
56  | 920,00          | 100,00        
57  | 630,00          | 90,00         
58  | 650,00          | 60,00         
59  | 800,00          | 70,00         
60  | 570,00          | 50,00         
61  | 570,00          | 80,00         
62  | 380,00          | 40,00         
63  | 730,00          | 60,00         
64  | 660,00          | 80,00         
65  | 440,00          | 40,00         
66  | 670,00          | 70,00         
67  | 1080,00         | 90,00         
68  | 670,00          | 80,00         
69  | 1160,00         | 100,00        
70  | 590,00          | 50,00         
71  | 830,00          | 80,00         
72  | 330,00          | 40,00         
73  | 290,00          | 40,00         
74  | 850,00          | 100,00        
75  | 1210,00         | 100,00        
76  | 630,00          | 50,00         
77  | 860,00          | 70,00         
78  | 220,00          | 30,00         
79  | 1080,00         | 90,00         
80  | 520,00          | 40,00         
81  | 380,00          | 30,00         
82  | 950,00          | 100,00        
83  | 1010,00         | 100,00        
84  | 810,00          | 100,00        
85  | 300,00          | 40,00         
86  | 980,00          | 100,00        
87  | 880,00          | 80,00         
88  | 440,00          | 60,00         
89  | 930,00          | 100,00        
90  | 460,00          | 60,00         
91  | 930,00          | 100,00        
92  | 320,00          | 30,00         
93  | 500,00          | 40,00         
94  | 290,00          | 40,00         
95  | 710,00          | 80,00         
96  | 660,00          | 70,00         
97  | 870,00          | 80,00         
98  | 440,00          | 60,00         
99  | 290,00          | 30,00         
100 | 390,00          | 50,00         
101 | 440,00          | 40,00         
102 | 1190,00         | 100,00        
103 | 380,00          | 40,00         
104 | 790,00          | 90,00         
105 | 850,00          | 100,00        
106 | 350,00          | 40,00         
