
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 0,00        | 30,00     | ✓OK    
Instalación 1   | 48,00       | 50,00     | ✓OK    
Instalación 2   | 57,00       | 60,00     | ✓OK    
Instalación 3   | 0,00        | 30,00     | ✓OK    
Instalación 4   | 0,00        | 100,00    | ✓OK    
Instalación 5   | 69,00       | 70,00     | ✓OK    
Instalación 6   | 76,00       | 80,00     | ✓OK    
Instalación 7   | 0,00        | 30,00     | ✓OK    
Instalación 8   | 0,00        | 60,00     | ✓OK    
Instalación 9   | 98,00       | 100,00    | ✓OK    
Instalación 10  | 0,00        | 100,00    | ✓OK    
Instalación 11  | 0,00        | 90,00     | ✓OK    
Instalación 12  | 80,00       | 80,00     | ✓Límite
Instalación 13  | 37,00       | 40,00     | ✓OK    
Instalación 14  | 0,00        | 90,00     | ✓OK    
Instalación 15  | 70,00       | 70,00     | ✓Límite
Instalación 16  | 100,00      | 100,00    | ✓Límite
Instalación 17  | 85,00       | 100,00    | ✓OK    
Instalación 18  | 0,00        | 80,00     | ✓OK    
Instalación 19  | 30,00       | 30,00     | ✓Límite
Instalación 20  | 39,00       | 40,00     | ✓OK    
Instalación 21  | 84,00       | 90,00     | ✓OK    
Instalación 22  | 0,00        | 40,00     | ✓OK    
Instalación 23  | 100,00      | 100,00    | ✓Límite
Instalación 24  | 0,00        | 70,00     | ✓OK    
Instalación 25  | 0,00        | 40,00     | ✓OK    
Instalación 26  | 0,00        | 30,00     | ✓OK    
Instalación 27  | 50,00       | 50,00     | ✓Límite
Instalación 28  | 49,00       | 50,00     | ✓OK    
Instalación 29  | 0,00        | 40,00     | ✓OK    
Instalación 30  | 0,00        | 40,00     | ✓OK    
Instalación 31  | 100,00      | 100,00    | ✓Límite
Instalación 32  | 40,00       | 40,00     | ✓Límite
Instalación 33  | 0,00        | 50,00     | ✓OK    
Instalación 34  | 0,00        | 70,00     | ✓OK    
Instalación 35  | 60,00       | 60,00     | ✓Límite
Instalación 36  | 0,00        | 50,00     | ✓OK    
Instalación 37  | 40,00       | 40,00     | ✓Límite
Instalación 38  | 30,00       | 30,00     | ✓Límite
Instalación 39  | 21,00       | 50,00     | ✓OK    
Instalación 40  | 70,00       | 70,00     | ✓Límite
Instalación 41  | 78,00       | 80,00     | ✓OK    
Instalación 42  | 0,00        | 90,00     | ✓OK    
Instalación 43  | 40,00       | 40,00     | ✓Límite
Instalación 44  | 0,00        | 40,00     | ✓OK    
Instalación 45  | 0,00        | 100,00    | ✓OK    
Instalación 46  | 30,00       | 30,00     | ✓Límite
Instalación 47  | 0,00        | 90,00     | ✓OK    
Instalación 48  | 100,00      | 100,00    | ✓Límite
Instalación 49  | 0,00        | 100,00    | ✓OK    
Instalación 50  | 0,00        | 70,00     | ✓OK    
Instalación 51  | 0,00        | 80,00     | ✓OK    
Instalación 52  | 39,00       | 40,00     | ✓OK    
Instalación 53  | 39,00       | 40,00     | ✓OK    
Instalación 54  | 0,00        | 80,00     | ✓OK    
Instalación 55  | 0,00        | 90,00     | ✓OK    
Instalación 56  | 83,00       | 100,00    | ✓OK    
Instalación 57  | 90,00       | 90,00     | ✓Límite
Instalación 58  | 0,00        | 60,00     | ✓OK    
Instalación 59  | 0,00        | 70,00     | ✓OK    
Instalación 60  | 0,00        | 50,00     | ✓OK    
Instalación 61  | 42,00       | 80,00     | ✓OK    
Instalación 62  | 40,00       | 40,00     | ✓Límite
Instalación 63  | 0,00        | 60,00     | ✓OK    
Instalación 64  | 76,00       | 80,00     | ✓OK    
Instalación 65  | 40,00       | 40,00     | ✓Límite
Instalación 66  | 0,00        | 70,00     | ✓OK    
Instalación 67  | 0,00        | 90,00     | ✓OK    
Instalación 68  | 80,00       | 80,00     | ✓Límite
Instalación 69  | 0,00        | 100,00    | ✓OK    
Instalación 70  | 50,00       | 50,00     | ✓Límite
Instalación 71  | 80,00       | 80,00     | ✓Límite
Instalación 72  | 38,00       | 40,00     | ✓OK    
Instalación 73  | 37,00       | 40,00     | ✓OK    
Instalación 74  | 0,00        | 100,00    | ✓OK    
Instalación 75  | 0,00        | 100,00    | ✓OK    
Instalación 76  | 50,00       | 50,00     | ✓Límite
Instalación 77  | 0,00        | 70,00     | ✓OK    
Instalación 78  | 24,00       | 30,00     | ✓OK    
Instalación 79  | 0,00        | 90,00     | ✓OK    
Instalación 80  | 0,00        | 40,00     | ✓OK    
Instalación 81  | 0,00        | 30,00     | ✓OK    
Instalación 82  | 100,00      | 100,00    | ✓Límite
Instalación 83  | 92,00       | 100,00    | ✓OK    
Instalación 84  | 0,00        | 100,00    | ✓OK    
Instalación 85  | 39,00       | 40,00     | ✓OK    
Instalación 86  | 0,00        | 100,00    | ✓OK    
Instalación 87  | 0,00        | 80,00     | ✓OK    
Instalación 88  | 60,00       | 60,00     | ✓Límite
Instalación 89  | 0,00        | 100,00    | ✓OK    
Instalación 90  | 60,00       | 60,00     | ✓Límite
