
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Cerrada | 0,00      
Instalación 1   | Abierta | 540,00    
Instalación 2   | Cerrada | 0,00      
Instalación 3   | Abierta | 380,00    
Instalación 4   | Cerrada | 0,00      
Instalación 5   | Abierta | 570,00    
Instalación 6   | Abierta | 700,00    
Instalación 7   | Abierta | 280,00    
Instalación 8   | Cerrada | 0,00      
Instalación 9   | Abierta | 1140,00   
Instalación 10  | Cerrada | 0,00      
Instalación 11  | Abierta | 1040,00   
Instalación 12  | Abierta | 580,00    
Instalación 13  | Abierta | 360,00    
Instalación 14  | Cerrada | 0,00      
Instalación 15  | Cerrada | 0,00      
Instalación 16  | Abierta | 720,00    
Instalación 17  | Cerrada | 0,00      
Instalación 18  | Cerrada | 0,00      
Instalación 19  | Abierta | 220,00    
Instalación 20  | Abierta | 410,00    
Instalación 21  | Cerrada | 0,00      
Instalación 22  | Cerrada | 0,00      
Instalación 23  | Abierta | 800,00    
Instalación 24  | Cerrada | 0,00      
Instalación 25  | Cerrada | 0,00      
Instalación 26  | Abierta | 310,00    
Instalación 27  | Abierta | 490,00    
Instalación 28  | Abierta | 380,00    
Instalación 29  | Cerrada | 0,00      
Instalación 30  | Abierta | 310,00    
Instalación 31  | Cerrada | 0,00      
Instalación 32  | Abierta | 340,00    
Instalación 33  | Cerrada | 0,00      
Instalación 34  | Abierta | 670,00    
Instalación 35  | Abierta | 560,00    
Instalación 36  | Cerrada | 0,00      
Instalación 37  | Abierta | 390,00    
Instalación 38  | Abierta | 380,00    
Instalación 39  | Cerrada | 0,00      
Instalación 40  | Abierta | 620,00    
Instalación 41  | Abierta | 850,00    
Instalación 42  | Abierta | 880,00    
Instalación 43  | Abierta | 400,00    
Instalación 44  | Cerrada | 0,00      
Instalación 45  | Cerrada | 0,00      
Instalación 46  | Abierta | 210,00    
Instalación 47  | Cerrada | 0,00      
Instalación 48  | Abierta | 840,00    
Instalación 49  | Cerrada | 0,00      
Instalación 50  | Cerrada | 0,00      
Instalación 51  | Cerrada | 0,00      
Instalación 52  | Cerrada | 0,00      
Instalación 53  | Cerrada | 0,00      
Instalación 54  | Cerrada | 0,00      
Instalación 55  | Cerrada | 0,00      
Instalación 56  | Cerrada | 0,00      
Instalación 57  | Abierta | 630,00    
Instalación 58  | Abierta | 650,00    
Instalación 59  | Abierta | 800,00    
Instalación 60  | Cerrada | 0,00      
