
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 620,00          | 50,00         
1   | 500,00          | 50,00         
2   | 740,00          | 80,00         
3   | 520,00          | 60,00         
4   | 590,00          | 50,00         
5   | 450,00          | 40,00         
6   | 1150,00         | 100,00        
7   | 500,00          | 60,00         
8   | 710,00          | 70,00         
9   | 830,00          | 100,00        
10  | 440,00          | 40,00         
11  | 640,00          | 80,00         
12  | 570,00          | 60,00         
13  | 300,00          | 30,00         
14  | 1030,00         | 80,00         
15  | 720,00          | 70,00         
16  | 390,00          | 50,00         
17  | 480,00          | 60,00         
18  | 430,00          | 60,00         
19  | 340,00          | 30,00         
20  | 650,00          | 50,00         
21  | 1000,00         | 100,00        
22  | 940,00          | 80,00         
23  | 240,00          | 30,00         
24  | 650,00          | 50,00         
25  | 440,00          | 60,00         
26  | 910,00          | 100,00        
27  | 590,00          | 60,00         
28  | 490,00          | 40,00         
29  | 380,00          | 50,00         
30  | 860,00          | 100,00        
31  | 420,00          | 40,00         
32  | 260,00          | 30,00         
33  | 1240,00         | 100,00        
34  | 700,00          | 80,00         
35  | 790,00          | 70,00         
36  | 1290,00         | 100,00        
37  | 360,00          | 50,00         
38  | 300,00          | 30,00         
39  | 310,00          | 30,00         
40  | 600,00          | 60,00         
41  | 420,00          | 40,00         
42  | 610,00          | 50,00         
43  | 860,00          | 80,00         
44  | 390,00          | 40,00         
45  | 280,00          | 30,00         
46  | 990,00          | 90,00         
47  | 460,00          | 50,00         
48  | 360,00          | 40,00         
49  | 1150,00         | 100,00        
50  | 500,00          | 50,00         
51  | 870,00          | 70,00         
52  | 250,00          | 30,00         
53  | 390,00          | 30,00         
54  | 950,00          | 90,00         
55  | 530,00          | 60,00         
56  | 370,00          | 30,00         
57  | 640,00          | 80,00         
58  | 830,00          | 70,00         
59  | 980,00          | 80,00         
60  | 800,00          | 100,00        
61  | 1020,00         | 100,00        
62  | 290,00          | 30,00         
63  | 390,00          | 50,00         
64  | 900,00          | 90,00         
65  | 350,00          | 30,00         
66  | 650,00          | 90,00         
67  | 790,00          | 100,00        
68  | 1030,00         | 90,00         
69  | 1050,00         | 90,00         
70  | 1090,00         | 90,00         
71  | 480,00          | 50,00         
72  | 310,00          | 30,00         
73  | 590,00          | 80,00         
74  | 810,00          | 70,00         
