
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+-----------------+--------------+--------------------+---------
Cliente 0   | Instalación 77  | 17,00        | 4,00               | 68,00   
Cliente 1   | Instalación 236 | 18,00        | 7,00               | 126,00  
Cliente 2   | Instalación 80  | 8,00         | 13,00              | 104,00  
Cliente 3   | Instalación 26  | 7,00         | 3,00               | 21,00   
Cliente 4   | Instalación 7   | 19,00        | 6,00               | 114,00  
Cliente 5   | Instalación 41  | 10,00        | 5,00               | 50,00   
Cliente 6   | Instalación 83  | 12,00        | 2,00               | 24,00   
Cliente 7   | Instalación 72  | 12,00        | 4,00               | 48,00   
Cliente 8   | Instalación 241 | 17,00        | 4,00               | 68,00   
Cliente 9   | Instalación 45  | 13,00        | 5,00               | 65,00   
Cliente 10  | Instalación 238 | 17,00        | 3,00               | 51,00   
Cliente 11  | Instalación 120 | 5,00         | 1,00               | 5,00    
Cliente 12  | Instalación 192 | 6,00         | 5,00               | 30,00   
Cliente 13  | Instalación 46  | 12,00        | 1,00               | 12,00   
Cliente 14  | Instalación 169 | 6,00         | 2,00               | 12,00   
Cliente 15  | Instalación 204 | 16,00        | 1,00               | 16,00   
Cliente 16  | Instalación 234 | 16,00        | 2,00               | 32,00   
Cliente 17  | Instalación 16  | 15,00        | 4,00               | 60,00   
Cliente 18  | Instalación 89  | 16,00        | 3,00               | 48,00   
Cliente 19  | Instalación 231 | 13,00        | 4,00               | 52,00   
Cliente 20  | Instalación 100 | 16,00        | 3,00               | 48,00   
Cliente 21  | Instalación 83  | 5,00         | 9,00               | 45,00   
Cliente 22  | Instalación 107 | 12,00        | 6,00               | 72,00   
Cliente 23  | Instalación 96  | 9,00         | 2,00               | 18,00   
Cliente 24  | Instalación 73  | 10,00        | 4,00               | 40,00   
Cliente 25  | Instalación 249 | 13,00        | 6,00               | 78,00   
Cliente 26  | Instalación 220 | 14,00        | 1,00               | 14,00   
Cliente 27  | Instalación 236 | 17,00        | 2,00               | 34,00   
Cliente 28  | Instalación 144 | 18,00        | 5,00               | 90,00   
Cliente 29  | Instalación 144 | 12,00        | 4,00               | 48,00   
Cliente 29  | Instalación 166 | 2,00         | 4,00               | 8,00    
Cliente 30  | Instalación 121 | 15,00        | 4,00               | 60,00   
Cliente 31  | Instalación 179 | 15,00        | 6,00               | 90,00   
Cliente 32  | Instalación 108 | 12,00        | 7,00               | 84,00   
Cliente 33  | Instalación 15  | 12,00        | 5,00               | 60,00   
Cliente 34  | Instalación 137 | 18,00        | 3,00               | 54,00   
Cliente 35  | Instalación 62  | 12,00        | 2,00               | 24,00   
Cliente 36  | Instalación 30  | 6,00         | 3,00               | 18,00   
Cliente 37  | Instalación 30  | 18,00        | 4,00               | 72,00   
