
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación     | Demanda | Asignada | Porcentaje (%)
------------+-----------------+---------+----------+---------------
Cliente 0   | Instalación 16  | 17,00   | 17,00    | 100,0 %       
Cliente 1   | Instalación 83  | 18,00   | 18,00    | 100,0 %       
Cliente 2   | Instalación 179 | 8,00    | 8,00     | 100,0 %       
Cliente 3   | Instalación 26  | 7,00    | 7,00     | 100,0 %       
Cliente 4   | Instalación 7   | 19,00   | 19,00    | 100,0 %       
Cliente 5   | Instalación 83  | 10,00   | 10,00    | 100,0 %       
Cliente 6   | Instalación 83  | 12,00   | 12,00    | 100,0 %       
Cliente 7   | Instalación 104 | 12,00   | 12,00    | 100,0 %       
Cliente 8   | Instalación 241 | 17,00   | 17,00    | 100,0 %       
Cliente 9   | Instalación 68  | 13,00   | 13,00    | 100,0 %       
Cliente 10  | Instalación 238 | 17,00   | 17,00    | 100,0 %       
Cliente 11  | Instalación 68  | 5,00    | 5,00     | 100,0 %       
Cliente 12  | Instalación 192 | 6,00    | 6,00     | 100,0 %       
Cliente 13  | Instalación 46  | 12,00   | 12,00    | 100,0 %       
Cliente 14  | Instalación 169 | 6,00    | 6,00     | 100,0 %       
Cliente 15  | Instalación 204 | 16,00   | 16,00    | 100,0 %       
Cliente 16  | Instalación 99  | 16,00   | 16,00    | 100,0 %       
Cliente 17  | Instalación 16  | 15,00   | 15,00    | 100,0 %       
Cliente 18  | Instalación 89  | 16,00   | 16,00    | 100,0 %       
Cliente 19  | Instalación 78  | 13,00   | 13,00    | 100,0 %       
Cliente 20  | Instalación 100 | 16,00   | 16,00    | 100,0 %       
Cliente 21  | Instalación 83  | 5,00    | 5,00     | 100,0 %       
Cliente 22  | Instalación 46  | 12,00   | 12,00    | 100,0 %       
Cliente 23  | Instalación 207 | 9,00    | 9,00     | 100,0 %       
Cliente 24  | Instalación 73  | 10,00   | 10,00    | 100,0 %       
Cliente 25  | Instalación 41  | 13,00   | 13,00    | 100,0 %       
Cliente 26  | Instalación 181 | 14,00   | 14,00    | 100,0 %       
Cliente 27  | Instalación 89  | 17,00   | 17,00    | 100,0 %       
Cliente 28  | Instalación 144 | 18,00   | 18,00    | 100,0 %       
Cliente 29  | Instalación 144 | 14,00   | 12,00    | 85,7 %        
Cliente 29  | Instalación 166 | 14,00   | 2,00     | 14,3 %        
Cliente 30  | Instalación 238 | 15,00   | 15,00    | 100,0 %       
Cliente 31  | Instalación 179 | 15,00   | 15,00    | 100,0 %       
Cliente 32  | Instalación 114 | 12,00   | 12,00    | 100,0 %       
Cliente 33  | Instalación 78  | 12,00   | 12,00    | 100,0 %       
Cliente 34  | Instalación 137 | 18,00   | 18,00    | 100,0 %       
Cliente 35  | Instalación 68  | 12,00   | 12,00    | 100,0 %       
Cliente 36  | Instalación 30  | 6,00    | 6,00     | 100,0 %       
Cliente 37  | Instalación 30  | 20,00   | 20,00    | 100,0 %       
Cliente 38  | Instalación 100 | 18,00   | 18,00    | 100,0 %       
Cliente 39  | Instalación 30  | 7,00    | 7,00     | 100,0 %       
Cliente 40  | Instalación 192 | 5,00    | 5,00     | 100,0 %       
Cliente 41  | Instalación 100 | 13,00   | 13,00    | 100,0 %       
Cliente 42  | Instalación 9   | 8,00    | 8,00     | 100,0 %       
Cliente 43  | Instalación 11  | 12,00   | 12,00    | 100,0 %       
Cliente 44  | Instalación 26  | 18,00   | 18,00    | 100,0 %       
Cliente 45  | Instalación 29  | 5,00    | 5,00     | 100,0 %       
Cliente 46  | Instalación 194 | 11,00   | 11,00    | 100,0 %       
Cliente 47  | Instalación 238 | 19,00   | 19,00    | 100,0 %       
Cliente 48  | Instalación 9   | 5,00    | 5,00     | 100,0 %       
Cliente 49  | Instalación 57  | 7,00    | 7,00     | 100,0 %       
Cliente 50  | Instalación 83  | 7,00    | 7,00     | 100,0 %       
Cliente 51  | Instalación 83  | 6,00    | 6,00     | 100,0 %       
Cliente 52  | Instalación 170 | 13,00   | 13,00    | 100,0 %       
Cliente 53  | Instalación 167 | 14,00   | 14,00    | 100,0 %       
Cliente 54  | Instalación 137 | 17,00   | 17,00    | 100,0 %       
Cliente 55  | Instalación 46  | 13,00   | 13,00    | 100,0 %       
Cliente 56  | Instalación 7   | 20,00   | 20,00    | 100,0 %       
Cliente 57  | Instalación 52  | 17,00   | 17,00    | 100,0 %       
Cliente 58  | Instalación 156 | 13,00   | 13,00    | 100,0 %       
Cliente 59  | Instalación 23  | 12,00   | 12,00    | 100,0 %       
Cliente 60  | Instalación 92  | 19,00   | 19,00    | 100,0 %       
