
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Cerrada | 0,00      
Instalación 1   | Cerrada | 0,00      
Instalación 2   | Cerrada | 0,00      
Instalación 3   | Abierta | 520,00    
Instalación 4   | Cerrada | 0,00      
Instalación 5   | Cerrada | 0,00      
Instalación 6   | Cerrada | 0,00      
Instalación 7   | Abierta | 500,00    
Instalación 8   | Abierta | 710,00    
Instalación 9   | Abierta | 830,00    
Instalación 10  | Cerrada | 0,00      
Instalación 11  | Abierta | 640,00    
Instalación 12  | Abierta | 570,00    
Instalación 13  | Cerrada | 0,00      
Instalación 14  | Cerrada | 0,00      
Instalación 15  | Abierta | 720,00    
Instalación 16  | Abierta | 390,00    
Instalación 17  | Abierta | 480,00    
Instalación 18  | Cerrada | 0,00      
Instalación 19  | Cerrada | 0,00      
Instalación 20  | Cerrada | 0,00      
Instalación 21  | Cerrada | 0,00      
Instalación 22  | Cerrada | 0,00      
Instalación 23  | Abierta | 240,00    
Instalación 24  | Abierta | 650,00    
Instalación 25  | Abierta | 440,00    
Instalación 26  | Abierta | 910,00    
Instalación 27  | Abierta | 590,00    
Instalación 28  | Cerrada | 0,00      
Instalación 29  | Abierta | 380,00    
Instalación 30  | Abierta | 860,00    
Instalación 31  | Cerrada | 0,00      
Instalación 32  | Cerrada | 0,00      
Instalación 33  | Cerrada | 0,00      
Instalación 34  | Abierta | 700,00    
Instalación 35  | Abierta | 790,00    
Instalación 36  | Cerrada | 0,00      
Instalación 37  | Abierta | 360,00    
Instalación 38  | Cerrada | 0,00      
Instalación 39  | Cerrada | 0,00      
Instalación 40  | Cerrada | 0,00      
Instalación 41  | Abierta | 420,00    
Instalación 42  | Cerrada | 0,00      
Instalación 43  | Cerrada | 0,00      
Instalación 44  | Cerrada | 0,00      
Instalación 45  | Abierta | 280,00    
Instalación 46  | Abierta | 990,00    
Instalación 47  | Cerrada | 0,00      
Instalación 48  | Cerrada | 0,00      
Instalación 49  | Abierta | 1150,00   
Instalación 50  | Abierta | 500,00    
Instalación 51  | Cerrada | 0,00      
Instalación 52  | Abierta | 250,00    
Instalación 53  | Cerrada | 0,00      
Instalación 54  | Abierta | 950,00    
Instalación 55  | Abierta | 530,00    
Instalación 56  | Cerrada | 0,00      
Instalación 57  | Abierta | 640,00    
Instalación 58  | Cerrada | 0,00      
Instalación 59  | Cerrada | 0,00      
Instalación 60  | Cerrada | 0,00      
