
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 320,00          | 30,00         
1   | 770,00          | 60,00         
2   | 530,00          | 50,00         
3   | 310,00          | 30,00         
4   | 900,00          | 80,00         
5   | 800,00          | 80,00         
6   | 380,00          | 40,00         
7   | 370,00          | 30,00         
8   | 280,00          | 40,00         
9   | 380,00          | 30,00         
10  | 750,00          | 70,00         
11  | 870,00          | 100,00        
12  | 350,00          | 40,00         
13  | 720,00          | 60,00         
14  | 280,00          | 40,00         
15  | 780,00          | 70,00         
16  | 370,00          | 50,00         
17  | 380,00          | 30,00         
18  | 320,00          | 40,00         
19  | 1150,00         | 90,00         
20  | 1040,00         | 100,00        
21  | 720,00          | 70,00         
22  | 580,00          | 60,00         
23  | 570,00          | 80,00         
24  | 470,00          | 40,00         
25  | 830,00          | 70,00         
26  | 500,00          | 70,00         
27  | 1100,00         | 90,00         
28  | 380,00          | 30,00         
29  | 370,00          | 40,00         
30  | 1270,00         | 100,00        
31  | 440,00          | 60,00         
32  | 710,00          | 70,00         
33  | 660,00          | 90,00         
34  | 870,00          | 100,00        
35  | 610,00          | 70,00         
36  | 340,00          | 30,00         
37  | 490,00          | 60,00         
38  | 830,00          | 70,00         
39  | 270,00          | 30,00         
40  | 720,00          | 60,00         
41  | 720,00          | 60,00         
42  | 680,00          | 90,00         
43  | 360,00          | 30,00         
44  | 400,00          | 40,00         
45  | 850,00          | 80,00         
46  | 840,00          | 90,00         
47  | 820,00          | 90,00         
48  | 310,00          | 40,00         
49  | 430,00          | 60,00         
50  | 390,00          | 30,00         
51  | 450,00          | 40,00         
52  | 480,00          | 50,00         
53  | 770,00          | 70,00         
54  | 250,00          | 30,00         
55  | 360,00          | 50,00         
56  | 700,00          | 100,00        
57  | 470,00          | 60,00         
58  | 370,00          | 30,00         
59  | 540,00          | 70,00         
60  | 250,00          | 30,00         
61  | 430,00          | 40,00         
62  | 450,00          | 40,00         
63  | 670,00          | 90,00         
64  | 420,00          | 50,00         
65  | 920,00          | 90,00         
66  | 880,00          | 100,00        
67  | 730,00          | 80,00         
68  | 920,00          | 100,00        
69  | 510,00          | 60,00         
70  | 1050,00         | 90,00         
71  | 630,00          | 70,00         
72  | 1120,00         | 90,00         
73  | 680,00          | 80,00         
74  | 730,00          | 80,00         
75  | 360,00          | 30,00         
76  | 670,00          | 80,00         
77  | 830,00          | 100,00        
78  | 680,00          | 60,00         
79  | 490,00          | 70,00         
80  | 360,00          | 30,00         
81  | 810,00          | 100,00        
82  | 970,00          | 80,00         
83  | 600,00          | 70,00         
84  | 1190,00         | 100,00        
85  | 430,00          | 60,00         
86  | 910,00          | 90,00         
87  | 580,00          | 80,00         
88  | 490,00          | 50,00         
89  | 260,00          | 30,00         
90  | 900,00          | 100,00        
91  | 590,00          | 70,00         
92  | 810,00          | 70,00         
93  | 380,00          | 30,00         
94  | 450,00          | 40,00         
95  | 530,00          | 70,00         
96  | 1000,00         | 80,00         
97  | 960,00          | 100,00        
98  | 640,00          | 50,00         
99  | 890,00          | 80,00         
100 | 660,00          | 70,00         
101 | 1100,00         | 100,00        
102 | 280,00          | 30,00         
103 | 680,00          | 80,00         
104 | 570,00          | 50,00         
105 | 690,00          | 70,00         
106 | 700,00          | 60,00         
107 | 400,00          | 50,00         
108 | 970,00          | 90,00         
109 | 520,00          | 70,00         
110 | 320,00          | 30,00         
111 | 950,00          | 80,00         
112 | 550,00          | 70,00         
113 | 900,00          | 90,00         
114 | 570,00          | 70,00         
115 | 770,00          | 100,00        
116 | 490,00          | 70,00         
117 | 440,00          | 50,00         
118 | 350,00          | 50,00         
119 | 520,00          | 70,00         
120 | 1150,00         | 90,00         
121 | 440,00          | 40,00         
122 | 1120,00         | 90,00         
123 | 350,00          | 30,00         
124 | 620,00          | 70,00         
125 | 450,00          | 50,00         
126 | 480,00          | 40,00         
127 | 1030,00         | 80,00         
128 | 920,00          | 90,00         
129 | 340,00          | 30,00         
130 | 890,00          | 80,00         
131 | 590,00          | 80,00         
132 | 500,00          | 70,00         
133 | 420,00          | 60,00         
134 | 380,00          | 30,00         
135 | 300,00          | 40,00         
136 | 610,00          | 80,00         
137 | 330,00          | 30,00         
138 | 1150,00         | 100,00        
139 | 610,00          | 70,00         
140 | 490,00          | 40,00         
141 | 1150,00         | 90,00         
142 | 530,00          | 60,00         
143 | 860,00          | 100,00        
144 | 1150,00         | 90,00         
145 | 530,00          | 50,00         
146 | 410,00          | 40,00         
147 | 510,00          | 70,00         
148 | 740,00          | 90,00         
149 | 340,00          | 30,00         
150 | 880,00          | 100,00        
151 | 840,00          | 80,00         
152 | 1100,00         | 100,00        
153 | 650,00          | 70,00         
154 | 780,00          | 70,00         
155 | 210,00          | 30,00         
156 | 660,00          | 90,00         
157 | 420,00          | 40,00         
158 | 610,00          | 80,00         
159 | 420,00          | 60,00         
160 | 680,00          | 80,00         
161 | 650,00          | 60,00         
162 | 1010,00         | 80,00         
163 | 350,00          | 40,00         
164 | 910,00          | 70,00         
165 | 1070,00         | 90,00         
166 | 230,00          | 30,00         
167 | 790,00          | 100,00        
168 | 1070,00         | 100,00        
169 | 770,00          | 70,00         
170 | 510,00          | 40,00         
171 | 590,00          | 60,00         
172 | 620,00          | 80,00         
173 | 770,00          | 60,00         
174 | 950,00          | 90,00         
175 | 590,00          | 60,00         
176 | 710,00          | 70,00         
177 | 370,00          | 50,00         
178 | 240,00          | 30,00         
179 | 800,00          | 90,00         
180 | 360,00          | 40,00         
181 | 460,00          | 50,00         
182 | 800,00          | 80,00         
183 | 310,00          | 30,00         
184 | 730,00          | 90,00         
185 | 820,00          | 100,00        
186 | 410,00          | 50,00         
187 | 420,00          | 50,00         
188 | 390,00          | 50,00         
189 | 870,00          | 100,00        
190 | 450,00          | 50,00         
191 | 450,00          | 60,00         
192 | 1110,00         | 100,00        
193 | 810,00          | 100,00        
194 | 640,00          | 90,00         
195 | 1110,00         | 100,00        
196 | 890,00          | 70,00         
197 | 230,00          | 30,00         
198 | 970,00          | 90,00         
199 | 730,00          | 80,00         
200 | 1060,00         | 90,00         
201 | 1000,00         | 90,00         
202 | 940,00          | 100,00        
203 | 930,00          | 80,00         
204 | 460,00          | 60,00         
205 | 950,00          | 80,00         
206 | 530,00          | 50,00         
207 | 790,00          | 90,00         
208 | 940,00          | 100,00        
209 | 990,00          | 90,00         
210 | 750,00          | 80,00         
211 | 760,00          | 80,00         
212 | 1070,00         | 100,00        
213 | 240,00          | 30,00         
214 | 320,00          | 30,00         
215 | 570,00          | 60,00         
216 | 350,00          | 50,00         
217 | 360,00          | 40,00         
218 | 960,00          | 90,00         
219 | 600,00          | 60,00         
220 | 730,00          | 60,00         
221 | 620,00          | 70,00         
222 | 610,00          | 60,00         
223 | 710,00          | 100,00        
224 | 1160,00         | 100,00        
225 | 240,00          | 30,00         
226 | 490,00          | 70,00         
227 | 720,00          | 90,00         
228 | 640,00          | 60,00         
229 | 430,00          | 50,00         
230 | 550,00          | 60,00         
231 | 320,00          | 40,00         
232 | 840,00          | 100,00        
233 | 930,00          | 90,00         
234 | 840,00          | 70,00         
235 | 390,00          | 40,00         
236 | 810,00          | 80,00         
237 | 770,00          | 90,00         
238 | 490,00          | 50,00         
239 | 650,00          | 70,00         
240 | 520,00          | 50,00         
241 | 430,00          | 60,00         
242 | 840,00          | 100,00        
243 | 340,00          | 30,00         
244 | 660,00          | 80,00         
245 | 390,00          | 50,00         
246 | 730,00          | 60,00         
247 | 350,00          | 40,00         
248 | 1120,00         | 90,00         
249 | 270,00          | 30,00         
250 | 450,00          | 50,00         
251 | 580,00          | 80,00         
252 | 700,00          | 70,00         
253 | 280,00          | 30,00         
254 | 910,00          | 100,00        
255 | 690,00          | 70,00         
256 | 660,00          | 60,00         
257 | 450,00          | 60,00         
258 | 870,00          | 70,00         
259 | 720,00          | 60,00         
260 | 290,00          | 40,00         
261 | 360,00          | 50,00         
262 | 510,00          | 70,00         
263 | 650,00          | 50,00         
264 | 1110,00         | 100,00        
265 | 1060,00         | 90,00         
266 | 670,00          | 80,00         
267 | 800,00          | 70,00         
268 | 220,00          | 30,00         
269 | 220,00          | 30,00         
270 | 1050,00         | 100,00        
271 | 810,00          | 70,00         
272 | 780,00          | 80,00         
273 | 900,00          | 80,00         
274 | 1040,00         | 80,00         
275 | 320,00          | 40,00         
276 | 530,00          | 60,00         
277 | 410,00          | 40,00         
278 | 750,00          | 100,00        
279 | 1000,00         | 100,00        
280 | 500,00          | 50,00         
281 | 570,00          | 50,00         
282 | 820,00          | 70,00         
283 | 500,00          | 40,00         
284 | 570,00          | 60,00         
285 | 240,00          | 30,00         
286 | 500,00          | 40,00         
287 | 460,00          | 50,00         
288 | 970,00          | 90,00         
289 | 350,00          | 30,00         
290 | 890,00          | 80,00         
291 | 760,00          | 60,00         
292 | 780,00          | 100,00        
293 | 220,00          | 30,00         
294 | 750,00          | 70,00         
295 | 470,00          | 60,00         
296 | 210,00          | 30,00         
297 | 380,00          | 50,00         
298 | 830,00          | 80,00         
299 | 610,00          | 70,00         
300 | 730,00          | 100,00        
301 | 500,00          | 50,00         
302 | 660,00          | 80,00         
303 | 560,00          | 50,00         
304 | 830,00          | 100,00        
305 | 550,00          | 50,00         
306 | 540,00          | 60,00         
307 | 470,00          | 40,00         
308 | 440,00          | 40,00         
