
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 30,00       | 30,00     | ✓Límite
Instalación 1   | 0,00        | 60,00     | ✓OK    
Instalación 2   | 0,00        | 50,00     | ✓OK    
Instalación 3   | 0,00        | 30,00     | ✓OK    
Instalación 4   | 0,00        | 80,00     | ✓OK    
Instalación 5   | 0,00        | 80,00     | ✓OK    
Instalación 6   | 40,00       | 40,00     | ✓Límite
Instalación 7   | 30,00       | 30,00     | ✓Límite
Instalación 8   | 40,00       | 40,00     | ✓Límite
Instalación 9   | 30,00       | 30,00     | ✓Límite
Instalación 10  | 70,00       | 70,00     | ✓Límite
Instalación 11  | 100,00      | 100,00    | ✓Límite
Instalación 12  | 40,00       | 40,00     | ✓Límite
Instalación 13  | 0,00        | 60,00     | ✓OK    
Instalación 14  | 37,00       | 40,00     | ✓OK    
Instalación 15  | 70,00       | 70,00     | ✓Límite
Instalación 16  | 50,00       | 50,00     | ✓Límite
Instalación 17  | 0,00        | 30,00     | ✓OK    
Instalación 18  | 40,00       | 40,00     | ✓Límite
Instalación 19  | 0,00        | 90,00     | ✓OK    
Instalación 20  | 100,00      | 100,00    | ✓Límite
Instalación 21  | 0,00        | 70,00     | ✓OK    
Instalación 22  | 60,00       | 60,00     | ✓Límite
Instalación 23  | 80,00       | 80,00     | ✓Límite
Instalación 24  | 0,00        | 40,00     | ✓OK    
Instalación 25  | 0,00        | 70,00     | ✓OK    
Instalación 26  | 0,00        | 70,00     | ✓OK    
Instalación 27  | 0,00        | 90,00     | ✓OK    
Instalación 28  | 0,00        | 30,00     | ✓OK    
Instalación 29  | 38,00       | 40,00     | ✓OK    
Instalación 30  | 0,00        | 100,00    | ✓OK    
Instalación 31  | 60,00       | 60,00     | ✓Límite
Instalación 32  | 0,00        | 70,00     | ✓OK    
Instalación 33  | 90,00       | 90,00     | ✓Límite
Instalación 34  | 98,00       | 100,00    | ✓OK    
Instalación 35  | 0,00        | 70,00     | ✓OK    
Instalación 36  | 30,00       | 30,00     | ✓Límite
Instalación 37  | 60,00       | 60,00     | ✓Límite
Instalación 38  | 0,00        | 70,00     | ✓OK    
Instalación 39  | 29,00       | 30,00     | ✓OK    
Instalación 40  | 0,00        | 60,00     | ✓OK    
Instalación 41  | 0,00        | 60,00     | ✓OK    
Instalación 42  | 90,00       | 90,00     | ✓Límite
Instalación 43  | 30,00       | 30,00     | ✓Límite
Instalación 44  | 0,00        | 40,00     | ✓OK    
Instalación 45  | 78,00       | 80,00     | ✓OK    
Instalación 46  | 90,00       | 90,00     | ✓Límite
Instalación 47  | 90,00       | 90,00     | ✓Límite
Instalación 48  | 40,00       | 40,00     | ✓Límite
Instalación 49  | 60,00       | 60,00     | ✓Límite
Instalación 50  | 30,00       | 30,00     | ✓Límite
Instalación 51  | 0,00        | 40,00     | ✓OK    
Instalación 52  | 50,00       | 50,00     | ✓Límite
Instalación 53  | 0,00        | 70,00     | ✓OK    
Instalación 54  | 30,00       | 30,00     | ✓Límite
Instalación 55  | 50,00       | 50,00     | ✓Límite
Instalación 56  | 96,00       | 100,00    | ✓OK    
Instalación 57  | 58,00       | 60,00     | ✓OK    
Instalación 58  | 0,00        | 30,00     | ✓OK    
Instalación 59  | 70,00       | 70,00     | ✓Límite
Instalación 60  | 30,00       | 30,00     | ✓Límite
Instalación 61  | 0,00        | 40,00     | ✓OK    
Instalación 62  | 0,00        | 40,00     | ✓OK    
Instalación 63  | 0,00        | 90,00     | ✓OK    
Instalación 64  | 50,00       | 50,00     | ✓Límite
Instalación 65  | 0,00        | 90,00     | ✓OK    
Instalación 66  | 92,00       | 100,00    | ✓OK    
Instalación 67  | 0,00        | 80,00     | ✓OK    
Instalación 68  | 87,00       | 100,00    | ✓OK    
Instalación 69  | 59,00       | 60,00     | ✓OK    
Instalación 70  | 0,00        | 90,00     | ✓OK    
Instalación 71  | 0,00        | 70,00     | ✓OK    
Instalación 72  | 0,00        | 90,00     | ✓OK    
Instalación 73  | 78,00       | 80,00     | ✓OK    
Instalación 74  | 0,00        | 80,00     | ✓OK    
Instalación 75  | 0,00        | 30,00     | ✓OK    
Instalación 76  | 77,00       | 80,00     | ✓OK    
Instalación 77  | 99,00       | 100,00    | ✓OK    
Instalación 78  | 0,00        | 60,00     | ✓OK    
Instalación 79  | 64,00       | 70,00     | ✓OK    
Instalación 80  | 0,00        | 30,00     | ✓OK    
Instalación 81  | 97,00       | 100,00    | ✓OK    
Instalación 82  | 0,00        | 80,00     | ✓OK    
Instalación 83  | 70,00       | 70,00     | ✓Límite
Instalación 84  | 0,00        | 100,00    | ✓OK    
Instalación 85  | 60,00       | 60,00     | ✓Límite
Instalación 86  | 0,00        | 90,00     | ✓OK    
Instalación 87  | 75,00       | 80,00     | ✓OK    
Instalación 88  | 50,00       | 50,00     | ✓Límite
Instalación 89  | 30,00       | 30,00     | ✓Límite
Instalación 90  | 0,00        | 100,00    | ✓OK    
Instalación 91  | 70,00       | 70,00     | ✓Límite
Instalación 92  | 0,00        | 70,00     | ✓OK    
Instalación 93  | 0,00        | 30,00     | ✓OK    
Instalación 94  | 0,00        | 40,00     | ✓OK    
Instalación 95  | 64,00       | 70,00     | ✓OK    
Instalación 96  | 0,00        | 80,00     | ✓OK    
Instalación 97  | 0,00        | 100,00    | ✓OK    
Instalación 98  | 0,00        | 50,00     | ✓OK    
