
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Abierta | 320,00    
Instalación 1   | Cerrada | 0,00      
Instalación 2   | Cerrada | 0,00      
Instalación 3   | Cerrada | 0,00      
Instalación 4   | Cerrada | 0,00      
Instalación 5   | Cerrada | 0,00      
Instalación 6   | Abierta | 380,00    
Instalación 7   | Abierta | 370,00    
Instalación 8   | Abierta | 280,00    
Instalación 9   | Abierta | 380,00    
Instalación 10  | Abierta | 750,00    
Instalación 11  | Abierta | 870,00    
Instalación 12  | Abierta | 350,00    
Instalación 13  | Cerrada | 0,00      
Instalación 14  | Abierta | 280,00    
Instalación 15  | Abierta | 780,00    
Instalación 16  | Abierta | 370,00    
Instalación 17  | Cerrada | 0,00      
Instalación 18  | Abierta | 320,00    
Instalación 19  | Cerrada | 0,00      
Instalación 20  | Abierta | 1040,00   
Instalación 21  | Cerrada | 0,00      
Instalación 22  | Abierta | 580,00    
Instalación 23  | Abierta | 570,00    
Instalación 24  | Cerrada | 0,00      
Instalación 25  | Cerrada | 0,00      
Instalación 26  | Cerrada | 0,00      
Instalación 27  | Cerrada | 0,00      
Instalación 28  | Cerrada | 0,00      
Instalación 29  | Abierta | 370,00    
Instalación 30  | Cerrada | 0,00      
Instalación 31  | Abierta | 440,00    
Instalación 32  | Cerrada | 0,00      
Instalación 33  | Abierta | 660,00    
Instalación 34  | Abierta | 870,00    
Instalación 35  | Cerrada | 0,00      
Instalación 36  | Abierta | 340,00    
Instalación 37  | Abierta | 490,00    
Instalación 38  | Cerrada | 0,00      
Instalación 39  | Abierta | 270,00    
Instalación 40  | Cerrada | 0,00      
Instalación 41  | Cerrada | 0,00      
Instalación 42  | Abierta | 680,00    
Instalación 43  | Abierta | 360,00    
Instalación 44  | Cerrada | 0,00      
Instalación 45  | Abierta | 850,00    
Instalación 46  | Abierta | 840,00    
Instalación 47  | Abierta | 820,00    
Instalación 48  | Abierta | 310,00    
Instalación 49  | Abierta | 430,00    
Instalación 50  | Abierta | 390,00    
Instalación 51  | Cerrada | 0,00      
Instalación 52  | Abierta | 480,00    
Instalación 53  | Cerrada | 0,00      
Instalación 54  | Abierta | 250,00    
Instalación 55  | Abierta | 360,00    
Instalación 56  | Abierta | 700,00    
Instalación 57  | Abierta | 470,00    
Instalación 58  | Cerrada | 0,00      
Instalación 59  | Abierta | 540,00    
Instalación 60  | Abierta | 250,00    
Instalación 61  | Cerrada | 0,00      
Instalación 62  | Cerrada | 0,00      
Instalación 63  | Cerrada | 0,00      
Instalación 64  | Abierta | 420,00    
Instalación 65  | Cerrada | 0,00      
Instalación 66  | Abierta | 880,00    
Instalación 67  | Cerrada | 0,00      
Instalación 68  | Abierta | 920,00    
Instalación 69  | Abierta | 510,00    
Instalación 70  | Cerrada | 0,00      
Instalación 71  | Cerrada | 0,00      
Instalación 72  | Cerrada | 0,00      
Instalación 73  | Abierta | 680,00    
Instalación 74  | Cerrada | 0,00      
Instalación 75  | Cerrada | 0,00      
Instalación 76  | Abierta | 670,00    
Instalación 77  | Abierta | 830,00    
Instalación 78  | Cerrada | 0,00      
Instalación 79  | Abierta | 490,00    
Instalación 80  | Cerrada | 0,00      
Instalación 81  | Abierta | 810,00    
Instalación 82  | Cerrada | 0,00      
Instalación 83  | Abierta | 600,00    
Instalación 84  | Cerrada | 0,00      
Instalación 85  | Abierta | 430,00    
Instalación 86  | Cerrada | 0,00      
Instalación 87  | Abierta | 580,00    
Instalación 88  | Abierta | 490,00    
Instalación 89  | Abierta | 260,00    
Instalación 90  | Cerrada | 0,00      
Instalación 91  | Abierta | 590,00    
Instalación 92  | Cerrada | 0,00      
Instalación 93  | Cerrada | 0,00      
Instalación 94  | Cerrada | 0,00      
Instalación 95  | Abierta | 530,00    
Instalación 96  | Cerrada | 0,00      
Instalación 97  | Cerrada | 0,00      
Instalación 98  | Cerrada | 0,00      
Instalación 99  | Cerrada | 0,00      
Instalación 100 | Cerrada | 0,00      
Instalación 101 | Cerrada | 0,00      
Instalación 102 | Abierta | 280,00    
Instalación 103 | Abierta | 680,00    
Instalación 104 | Cerrada | 0,00      
Instalación 105 | Abierta | 690,00    
Instalación 106 | Abierta | 700,00    
Instalación 107 | Abierta | 400,00    
Instalación 108 | Cerrada | 0,00      
Instalación 109 | Abierta | 520,00    
Instalación 110 | Abierta | 320,00    
Instalación 111 | Cerrada | 0,00      
Instalación 112 | Abierta | 550,00    
Instalación 113 | Abierta | 900,00    
Instalación 114 | Cerrada | 0,00      
Instalación 115 | Abierta | 770,00    
Instalación 116 | Abierta | 490,00    
Instalación 117 | Abierta | 440,00    
Instalación 118 | Abierta | 350,00    
Instalación 119 | Abierta | 520,00    
Instalación 120 | Cerrada | 0,00      
Instalación 121 | Cerrada | 0,00      
Instalación 122 | Cerrada | 0,00      
Instalación 123 | Cerrada | 0,00      
Instalación 124 | Cerrada | 0,00      
Instalación 125 | Abierta | 450,00    
Instalación 126 | Cerrada | 0,00      
Instalación 127 | Cerrada | 0,00      
Instalación 128 | Cerrada | 0,00      
Instalación 129 | Cerrada | 0,00      
Instalación 130 | Cerrada | 0,00      
Instalación 131 | Abierta | 590,00    
Instalación 132 | Cerrada | 0,00      
Instalación 133 | Abierta | 420,00    
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Abierta | 300,00    
Instalación 136 | Cerrada | 0,00      
Instalación 137 | Abierta | 330,00    
Instalación 138 | Abierta | 1150,00   
Instalación 139 | Cerrada | 0,00      
Instalación 140 | Cerrada | 0,00      
Instalación 141 | Cerrada | 0,00      
Instalación 142 | Cerrada | 0,00      
Instalación 143 | Abierta | 860,00    
Instalación 144 | Cerrada | 0,00      
Instalación 145 | Cerrada | 0,00      
Instalación 146 | Abierta | 410,00    
Instalación 147 | Abierta | 510,00    
Instalación 148 | Abierta | 740,00    
Instalación 149 | Cerrada | 0,00      
Instalación 150 | Abierta | 880,00    
Instalación 151 | Abierta | 840,00    
Instalación 152 | Abierta | 1100,00   
Instalación 153 | Cerrada | 0,00      
Instalación 154 | Cerrada | 0,00      
Instalación 155 | Abierta | 210,00    
Instalación 156 | Abierta | 660,00    
Instalación 157 | Abierta | 420,00    
Instalación 158 | Abierta | 610,00    
Instalación 159 | Abierta | 420,00    
Instalación 160 | Cerrada | 0,00      
Instalación 161 | Cerrada | 0,00      
Instalación 162 | Cerrada | 0,00      
Instalación 163 | Cerrada | 0,00      
Instalación 164 | Cerrada | 0,00      
Instalación 165 | Cerrada | 0,00      
Instalación 166 | Abierta | 230,00    
Instalación 167 | Abierta | 790,00    
Instalación 168 | Cerrada | 0,00      
Instalación 169 | Abierta | 770,00    
Instalación 170 | Cerrada | 0,00      
Instalación 171 | Abierta | 590,00    
Instalación 172 | Abierta | 620,00    
Instalación 173 | Cerrada | 0,00      
Instalación 174 | Cerrada | 0,00      
Instalación 175 | Cerrada | 0,00      
Instalación 176 | Cerrada | 0,00      
Instalación 177 | Abierta | 370,00    
Instalación 178 | Abierta | 240,00    
Instalación 179 | Cerrada | 0,00      
Instalación 180 | Abierta | 360,00    
Instalación 181 | Abierta | 460,00    
Instalación 182 | Abierta | 800,00    
Instalación 183 | Cerrada | 0,00      
Instalación 184 | Abierta | 730,00    
Instalación 185 | Abierta | 820,00    
Instalación 186 | Abierta | 410,00    
Instalación 187 | Abierta | 420,00    
Instalación 188 | Abierta | 390,00    
Instalación 189 | Abierta | 870,00    
Instalación 190 | Abierta | 450,00    
Instalación 191 | Abierta | 450,00    
Instalación 192 | Abierta | 1110,00   
Instalación 193 | Cerrada | 0,00      
Instalación 194 | Abierta | 640,00    
Instalación 195 | Cerrada | 0,00      
Instalación 196 | Cerrada | 0,00      
Instalación 197 | Abierta | 230,00    
Instalación 198 | Cerrada | 0,00      
Instalación 199 | Cerrada | 0,00      
Instalación 200 | Cerrada | 0,00      
Instalación 201 | Cerrada | 0,00      
Instalación 202 | Cerrada | 0,00      
Instalación 203 | Cerrada | 0,00      
Instalación 204 | Abierta | 460,00    
Instalación 205 | Cerrada | 0,00      
Instalación 206 | Abierta | 530,00    
Instalación 207 | Cerrada | 0,00      
Instalación 208 | Cerrada | 0,00      
Instalación 209 | Cerrada | 0,00      
Instalación 210 | Cerrada | 0,00      
Instalación 211 | Abierta | 760,00    
Instalación 212 | Abierta | 1070,00   
Instalación 213 | Abierta | 240,00    
Instalación 214 | Abierta | 320,00    
Instalación 215 | Cerrada | 0,00      
Instalación 216 | Cerrada | 0,00      
Instalación 217 | Abierta | 360,00    
Instalación 218 | Cerrada | 0,00      
Instalación 219 | Cerrada | 0,00      
Instalación 220 | Cerrada | 0,00      
Instalación 221 | Abierta | 620,00    
Instalación 222 | Abierta | 610,00    
Instalación 223 | Abierta | 710,00    
Instalación 224 | Cerrada | 0,00      
Instalación 225 | Abierta | 240,00    
Instalación 226 | Abierta | 490,00    
Instalación 227 | Cerrada | 0,00      
Instalación 228 | Cerrada | 0,00      
Instalación 229 | Cerrada | 0,00      
Instalación 230 | Abierta | 550,00    
Instalación 231 | Abierta | 320,00    
Instalación 232 | Abierta | 840,00    
Instalación 233 | Abierta | 930,00    
Instalación 234 | Cerrada | 0,00      
Instalación 235 | Cerrada | 0,00      
Instalación 236 | Cerrada | 0,00      
Instalación 237 | Abierta | 770,00    
Instalación 238 | Cerrada | 0,00      
Instalación 239 | Cerrada | 0,00      
Instalación 240 | Cerrada | 0,00      
Instalación 241 | Abierta | 430,00    
Instalación 242 | Cerrada | 0,00      
Instalación 243 | Cerrada | 0,00      
Instalación 244 | Abierta | 660,00    
Instalación 245 | Abierta | 390,00    
Instalación 246 | Cerrada | 0,00      
Instalación 247 | Cerrada | 0,00      
Instalación 248 | Cerrada | 0,00      
Instalación 249 | Cerrada | 0,00      
Instalación 250 | Abierta | 450,00    
Instalación 251 | Abierta | 580,00    
Instalación 252 | Cerrada | 0,00      
Instalación 253 | Cerrada | 0,00      
