
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente      | Instalación     | Demanda | Asignada | Porcentaje (%)
-------------+-----------------+---------+----------+---------------
Cliente 0    | Instalación 15  | 15,00   | 15,00    | 100,0 %       
Cliente 1    | Instalación 261 | 20,00   | 20,00    | 100,0 %       
Cliente 2    | Instalación 406 | 11,00   | 11,00    | 100,0 %       
Cliente 3    | Instalación 285 | 13,00   | 13,00    | 100,0 %       
Cliente 4    | Instalación 473 | 7,00    | 7,00     | 100,0 %       
Cliente 5    | Instalación 177 | 9,00    | 9,00     | 100,0 %       
Cliente 6    | Instalación 478 | 12,00   | 12,00    | 100,0 %       
Cliente 7    | Instalación 237 | 20,00   | 20,00    | 100,0 %       
Cliente 8    | Instalación 444 | 16,00   | 16,00    | 100,0 %       
Cliente 9    | Instalación 304 | 7,00    | 7,00     | 100,0 %       
Cliente 10   | Instalación 119 | 14,00   | 14,00    | 100,0 %       
Cliente 11   | Instalación 194 | 9,00    | 9,00     | 100,0 %       
Cliente 12   | Instalación 255 | 13,00   | 13,00    | 100,0 %       
Cliente 13   | Instalación 453 | 7,00    | 7,00     | 100,0 %       
Cliente 14   | Instalación 278 | 7,00    | 7,00     | 100,0 %       
Cliente 15   | Instalación 355 | 20,00   | 20,00    | 100,0 %       
Cliente 16   | Instalación 416 | 14,00   | 14,00    | 100,0 %       
Cliente 17   | Instalación 55  | 15,00   | 2,00     | 13,3 %        
Cliente 17   | Instalación 211 | 15,00   | 13,00    | 86,7 %        
Cliente 18   | Instalación 116 | 15,00   | 15,00    | 100,0 %       
Cliente 19   | Instalación 79  | 12,00   | 12,00    | 100,0 %       
Cliente 20   | Instalación 465 | 16,00   | 16,00    | 100,0 %       
Cliente 21   | Instalación 105 | 16,00   | 16,00    | 100,0 %       
Cliente 22   | Instalación 125 | 18,00   | 18,00    | 100,0 %       
Cliente 23   | Instalación 292 | 17,00   | 17,00    | 100,0 %       
Cliente 24   | Instalación 306 | 8,00    | 8,00     | 100,0 %       
Cliente 25   | Instalación 241 | 6,00    | 6,00     | 100,0 %       
Cliente 26   | Instalación 232 | 9,00    | 9,00     | 100,0 %       
Cliente 27   | Instalación 189 | 6,00    | 6,00     | 100,0 %       
Cliente 28   | Instalación 395 | 14,00   | 14,00    | 100,0 %       
Cliente 29   | Instalación 491 | 18,00   | 18,00    | 100,0 %       
Cliente 30   | Instalación 326 | 19,00   | 19,00    | 100,0 %       
Cliente 31   | Instalación 222 | 11,00   | 11,00    | 100,0 %       
Cliente 32   | Instalación 490 | 5,00    | 5,00     | 100,0 %       
Cliente 33   | Instalación 88  | 14,00   | 14,00    | 100,0 %       
Cliente 34   | Instalación 462 | 12,00   | 12,00    | 100,0 %       
Cliente 35   | Instalación 56  | 19,00   | 19,00    | 100,0 %       
Cliente 36   | Instalación 85  | 14,00   | 14,00    | 100,0 %       
Cliente 37   | Instalación 22  | 19,00   | 19,00    | 100,0 %       
Cliente 38   | Instalación 488 | 19,00   | 19,00    | 100,0 %       
Cliente 39   | Instalación 475 | 15,00   | 15,00    | 100,0 %       
Cliente 40   | Instalación 230 | 13,00   | 13,00    | 100,0 %       
Cliente 41   | Instalación 135 | 9,00    | 9,00     | 100,0 %       
Cliente 42   | Instalación 148 | 10,00   | 10,00    | 100,0 %       
Cliente 43   | Instalación 73  | 15,00   | 14,00    | 93,3 %        
Cliente 43   | Instalación 363 | 15,00   | 1,00     | 6,7 %         
Cliente 44   | Instalación 48  | 12,00   | 12,00    | 100,0 %       
Cliente 45   | Instalación 279 | 6,00    | 6,00     | 100,0 %       
Cliente 46   | Instalación 259 | 6,00    | 6,00     | 100,0 %       
Cliente 47   | Instalación 11  | 8,00    | 8,00     | 100,0 %       
Cliente 48   | Instalación 180 | 8,00    | 8,00     | 100,0 %       
Cliente 49   | Instalación 77  | 7,00    | 7,00     | 100,0 %       
Cliente 50   | Instalación 452 | 8,00    | 8,00     | 100,0 %       
Cliente 51   | Instalación 412 | 7,00    | 7,00     | 100,0 %       
Cliente 52   | Instalación 55  | 12,00   | 12,00    | 100,0 %       
Cliente 53   | Instalación 474 | 11,00   | 11,00    | 100,0 %       
Cliente 54   | Instalación 146 | 18,00   | 18,00    | 100,0 %       
Cliente 55   | Instalación 237 | 10,00   | 10,00    | 100,0 %       
Cliente 56   | Instalación 497 | 15,00   | 15,00    | 100,0 %       
Cliente 57   | Instalación 390 | 7,00    | 7,00     | 100,0 %       
Cliente 58   | Instalación 417 | 15,00   | 15,00    | 100,0 %       
Cliente 59   | Instalación 278 | 7,00    | 7,00     | 100,0 %       
Cliente 60   | Instalación 267 | 9,00    | 9,00     | 100,0 %       
Cliente 61   | Instalación 182 | 7,00    | 7,00     | 100,0 %       
Cliente 62   | Instalación 76  | 20,00   | 20,00    | 100,0 %       
Cliente 63   | Instalación 18  | 14,00   | 14,00    | 100,0 %       
Cliente 64   | Instalación 59  | 17,00   | 17,00    | 100,0 %       
