
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+-----------------+--------------+--------------------+---------
Cliente 0   | Instalación 36  | 9,00         | 6,00               | 54,00   
Cliente 1   | Instalación 3   | 14,00        | 2,00               | 28,00   
Cliente 2   | Instalación 43  | 8,00         | 3,00               | 24,00   
Cliente 3   | Instalación 195 | 5,00         | 1,00               | 5,00    
Cliente 4   | Instalación 59  | 6,00         | 4,00               | 24,00   
Cliente 5   | Instalación 172 | 20,00        | 3,00               | 60,00   
Cliente 6   | Instalación 13  | 18,00        | 4,00               | 72,00   
Cliente 7   | Instalación 262 | 12,00        | 6,00               | 72,00   
Cliente 8   | Instalación 132 | 9,00         | 5,00               | 45,00   
Cliente 9   | Instalación 181 | 9,00         | 2,00               | 18,00   
Cliente 10  | Instalación 218 | 5,00         | 1,00               | 5,00    
Cliente 11  | Instalación 254 | 10,00        | 7,00               | 70,00   
Cliente 12  | Instalación 264 | 8,00         | 2,00               | 16,00   
Cliente 13  | Instalación 6   | 18,00        | 6,00               | 108,00  
Cliente 14  | Instalación 285 | 20,00        | 9,00               | 180,00  
Cliente 15  | Instalación 118 | 16,00        | 2,00               | 32,00   
Cliente 16  | Instalación 266 | 15,00        | 5,00               | 75,00   
Cliente 17  | Instalación 65  | 20,00        | 0,00               | 0,00    
Cliente 18  | Instalación 262 | 12,00        | 2,00               | 24,00   
Cliente 19  | Instalación 195 | 18,00        | 1,00               | 18,00   
Cliente 20  | Instalación 9   | 11,00        | 2,00               | 22,00   
Cliente 21  | Instalación 9   | 17,00        | 6,00               | 102,00  
Cliente 22  | Instalación 38  | 17,00        | 4,00               | 68,00   
Cliente 23  | Instalación 107 | 20,00        | 5,00               | 100,00  
Cliente 24  | Instalación 58  | 18,00        | 9,00               | 162,00  
Cliente 25  | Instalación 261 | 7,00         | 5,00               | 35,00   
Cliente 26  | Instalación 85  | 14,00        | 2,00               | 28,00   
Cliente 27  | Instalación 254 | 11,00        | 13,00              | 143,00  
Cliente 28  | Instalación 107 | 15,00        | 2,00               | 30,00   
Cliente 29  | Instalación 182 | 7,00         | 2,00               | 14,00   
Cliente 30  | Instalación 258 | 5,00         | 3,00               | 15,00   
Cliente 31  | Instalación 123 | 17,00        | 4,00               | 68,00   
Cliente 32  | Instalación 203 | 17,00        | 11,00              | 187,00  
Cliente 33  | Instalación 132 | 18,00        | 1,00               | 18,00   
Cliente 34  | Instalación 154 | 13,00        | 4,00               | 52,00   
Cliente 35  | Instalación 192 | 14,00        | 2,00               | 28,00   
Cliente 36  | Instalación 173 | 8,00         | 6,00               | 48,00   
Cliente 37  | Instalación 28  | 9,00         | 6,00               | 54,00   
Cliente 38  | Instalación 150 | 9,00         | 7,00               | 63,00   
Cliente 39  | Instalación 203 | 11,00        | 3,00               | 33,00   
Cliente 40  | Instalación 295 | 17,00        | 4,00               | 68,00   
Cliente 41  | Instalación 180 | 6,00         | 8,00               | 48,00   
Cliente 42  | Instalación 256 | 18,00        | 5,00               | 90,00   
Cliente 43  | Instalación 155 | 13,00        | 4,00               | 52,00   
Cliente 44  | Instalación 238 | 15,00        | 6,00               | 90,00   
Cliente 45  | Instalación 192 | 18,00        | 6,00               | 108,00  
Cliente 46  | Instalación 43  | 5,00         | 6,00               | 30,00   
Cliente 46  | Instalación 295 | 13,00        | 5,00               | 65,00   
