
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación     | Demanda | Asignada | Porcentaje (%)
------------+-----------------+---------+----------+---------------
Cliente 0   | Instalación 101 | 9,00    | 9,00     | 100,0 %       
Cliente 1   | Instalación 3   | 14,00   | 14,00    | 100,0 %       
Cliente 2   | Instalación 295 | 8,00    | 8,00     | 100,0 %       
Cliente 3   | Instalación 195 | 5,00    | 5,00     | 100,0 %       
Cliente 4   | Instalación 59  | 6,00    | 6,00     | 100,0 %       
Cliente 5   | Instalación 172 | 20,00   | 20,00    | 100,0 %       
Cliente 6   | Instalación 13  | 18,00   | 18,00    | 100,0 %       
Cliente 7   | Instalación 283 | 12,00   | 12,00    | 100,0 %       
Cliente 8   | Instalación 132 | 9,00    | 9,00     | 100,0 %       
Cliente 9   | Instalación 181 | 9,00    | 9,00     | 100,0 %       
Cliente 10  | Instalación 218 | 5,00    | 5,00     | 100,0 %       
Cliente 11  | Instalación 254 | 10,00   | 10,00    | 100,0 %       
Cliente 12  | Instalación 264 | 8,00    | 8,00     | 100,0 %       
Cliente 13  | Instalación 6   | 18,00   | 18,00    | 100,0 %       
Cliente 14  | Instalación 74  | 20,00   | 20,00    | 100,0 %       
Cliente 15  | Instalación 20  | 16,00   | 16,00    | 100,0 %       
Cliente 16  | Instalación 140 | 15,00   | 15,00    | 100,0 %       
Cliente 17  | Instalación 65  | 20,00   | 20,00    | 100,0 %       
Cliente 18  | Instalación 283 | 12,00   | 12,00    | 100,0 %       
Cliente 19  | Instalación 195 | 18,00   | 18,00    | 100,0 %       
Cliente 20  | Instalación 264 | 11,00   | 11,00    | 100,0 %       
Cliente 21  | Instalación 153 | 17,00   | 17,00    | 100,0 %       
Cliente 22  | Instalación 38  | 17,00   | 17,00    | 100,0 %       
Cliente 23  | Instalación 107 | 20,00   | 20,00    | 100,0 %       
Cliente 24  | Instalación 131 | 18,00   | 18,00    | 100,0 %       
Cliente 25  | Instalación 21  | 7,00    | 7,00     | 100,0 %       
Cliente 26  | Instalación 231 | 14,00   | 14,00    | 100,0 %       
Cliente 27  | Instalación 159 | 11,00   | 11,00    | 100,0 %       
Cliente 28  | Instalación 95  | 15,00   | 15,00    | 100,0 %       
Cliente 29  | Instalación 248 | 7,00    | 7,00     | 100,0 %       
Cliente 30  | Instalación 258 | 5,00    | 5,00     | 100,0 %       
Cliente 31  | Instalación 41  | 17,00   | 17,00    | 100,0 %       
Cliente 32  | Instalación 53  | 17,00   | 4,00     | 23,5 %        
Cliente 32  | Instalación 123 | 17,00   | 13,00    | 76,5 %        
Cliente 33  | Instalación 132 | 18,00   | 18,00    | 100,0 %       
Cliente 34  | Instalación 154 | 13,00   | 13,00    | 100,0 %       
Cliente 35  | Instalación 146 | 14,00   | 14,00    | 100,0 %       
Cliente 36  | Instalación 270 | 8,00    | 8,00     | 100,0 %       
Cliente 37  | Instalación 154 | 9,00    | 9,00     | 100,0 %       
Cliente 38  | Instalación 181 | 9,00    | 9,00     | 100,0 %       
Cliente 39  | Instalación 188 | 11,00   | 11,00    | 100,0 %       
Cliente 40  | Instalación 45  | 17,00   | 17,00    | 100,0 %       
Cliente 41  | Instalación 287 | 6,00    | 6,00     | 100,0 %       
Cliente 42  | Instalación 246 | 18,00   | 18,00    | 100,0 %       
Cliente 43  | Instalación 39  | 13,00   | 13,00    | 100,0 %       
Cliente 44  | Instalación 238 | 15,00   | 15,00    | 100,0 %       
Cliente 45  | Instalación 192 | 18,00   | 18,00    | 100,0 %       
Cliente 46  | Instalación 283 | 18,00   | 18,00    | 100,0 %       
Cliente 47  | Instalación 150 | 20,00   | 20,00    | 100,0 %       
