
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Abierta | 710,00    
Instalación 1   | Abierta | 280,00    
Instalación 2   | Cerrada | 0,00      
Instalación 3   | Abierta | 940,00    
Instalación 4   | Cerrada | 0,00      
Instalación 5   | Cerrada | 0,00      
Instalación 6   | Abierta | 890,00    
Instalación 7   | Cerrada | 0,00      
Instalación 8   | Cerrada | 0,00      
Instalación 9   | Abierta | 800,00    
Instalación 10  | Cerrada | 0,00      
Instalación 11  | Cerrada | 0,00      
Instalación 12  | Cerrada | 0,00      
Instalación 13  | Abierta | 620,00    
Instalación 14  | Cerrada | 0,00      
Instalación 15  | Abierta | 910,00    
Instalación 16  | Cerrada | 0,00      
Instalación 17  | Cerrada | 0,00      
Instalación 18  | Cerrada | 0,00      
Instalación 19  | Abierta | 440,00    
Instalación 20  | Cerrada | 0,00      
Instalación 21  | Cerrada | 0,00      
Instalación 22  | Cerrada | 0,00      
Instalación 23  | Cerrada | 0,00      
Instalación 24  | Cerrada | 0,00      
Instalación 25  | Abierta | 700,00    
Instalación 26  | Cerrada | 0,00      
Instalación 27  | Cerrada | 0,00      
Instalación 28  | Abierta | 490,00    
Instalación 29  | Cerrada | 0,00      
Instalación 30  | Cerrada | 0,00      
Instalación 31  | Abierta | 690,00    
Instalación 32  | Abierta | 610,00    
Instalación 33  | Cerrada | 0,00      
Instalación 34  | Cerrada | 0,00      
Instalación 35  | Abierta | 310,00    
Instalación 36  | Abierta | 810,00    
Instalación 37  | Cerrada | 0,00      
Instalación 38  | Abierta | 420,00    
Instalación 39  | Abierta | 690,00    
Instalación 40  | Abierta | 550,00    
Instalación 41  | Abierta | 720,00    
Instalación 42  | Cerrada | 0,00      
Instalación 43  | Abierta | 1160,00   
Instalación 44  | Cerrada | 0,00      
Instalación 45  | Abierta | 760,00    
Instalación 46  | Abierta | 950,00    
Instalación 47  | Cerrada | 0,00      
Instalación 48  | Cerrada | 0,00      
Instalación 49  | Cerrada | 0,00      
Instalación 50  | Cerrada | 0,00      
Instalación 51  | Abierta | 800,00    
Instalación 52  | Cerrada | 0,00      
Instalación 53  | Abierta | 440,00    
Instalación 54  | Abierta | 230,00    
Instalación 55  | Cerrada | 0,00      
Instalación 56  | Abierta | 740,00    
Instalación 57  | Abierta | 210,00    
Instalación 58  | Abierta | 380,00    
Instalación 59  | Abierta | 600,00    
Instalación 60  | Abierta | 270,00    
Instalación 61  | Abierta | 300,00    
Instalación 62  | Cerrada | 0,00      
Instalación 63  | Cerrada | 0,00      
Instalación 64  | Cerrada | 0,00      
Instalación 65  | Abierta | 680,00    
Instalación 66  | Cerrada | 0,00      
Instalación 67  | Cerrada | 0,00      
Instalación 68  | Cerrada | 0,00      
Instalación 69  | Abierta | 700,00    
Instalación 70  | Cerrada | 0,00      
Instalación 71  | Abierta | 520,00    
Instalación 72  | Abierta | 730,00    
Instalación 73  | Abierta | 460,00    
Instalación 74  | Cerrada | 0,00      
Instalación 75  | Cerrada | 0,00      
Instalación 76  | Abierta | 270,00    
Instalación 77  | Cerrada | 0,00      
Instalación 78  | Abierta | 990,00    
Instalación 79  | Cerrada | 0,00      
Instalación 80  | Cerrada | 0,00      
Instalación 81  | Abierta | 430,00    
Instalación 82  | Abierta | 760,00    
Instalación 83  | Abierta | 250,00    
Instalación 84  | Cerrada | 0,00      
Instalación 85  | Abierta | 640,00    
Instalación 86  | Abierta | 940,00    
Instalación 87  | Abierta | 510,00    
Instalación 88  | Abierta | 310,00    
Instalación 89  | Cerrada | 0,00      
Instalación 90  | Abierta | 480,00    
Instalación 91  | Cerrada | 0,00      
Instalación 92  | Abierta | 600,00    
Instalación 93  | Cerrada | 0,00      
Instalación 94  | Cerrada | 0,00      
Instalación 95  | Cerrada | 0,00      
Instalación 96  | Cerrada | 0,00      
Instalación 97  | Cerrada | 0,00      
Instalación 98  | Cerrada | 0,00      
Instalación 99  | Cerrada | 0,00      
Instalación 100 | Abierta | 440,00    
Instalación 101 | Abierta | 430,00    
Instalación 102 | Cerrada | 0,00      
Instalación 103 | Abierta | 360,00    
Instalación 104 | Cerrada | 0,00      
Instalación 105 | Cerrada | 0,00      
Instalación 106 | Cerrada | 0,00      
Instalación 107 | Abierta | 500,00    
Instalación 108 | Cerrada | 0,00      
Instalación 109 | Cerrada | 0,00      
Instalación 110 | Abierta | 860,00    
Instalación 111 | Cerrada | 0,00      
Instalación 112 | Cerrada | 0,00      
Instalación 113 | Cerrada | 0,00      
Instalación 114 | Abierta | 470,00    
Instalación 115 | Abierta | 500,00    
Instalación 116 | Cerrada | 0,00      
Instalación 117 | Cerrada | 0,00      
Instalación 118 | Abierta | 860,00    
Instalación 119 | Cerrada | 0,00      
Instalación 120 | Cerrada | 0,00      
Instalación 121 | Abierta | 350,00    
Instalación 122 | Cerrada | 0,00      
Instalación 123 | Abierta | 210,00    
Instalación 124 | Cerrada | 0,00      
Instalación 125 | Cerrada | 0,00      
Instalación 126 | Cerrada | 0,00      
Instalación 127 | Cerrada | 0,00      
Instalación 128 | Abierta | 300,00    
Instalación 129 | Abierta | 830,00    
