
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 710,00          | 100,00        
1   | 280,00          | 30,00         
2   | 730,00          | 60,00         
3   | 940,00          | 90,00         
4   | 440,00          | 40,00         
5   | 920,00          | 90,00         
6   | 890,00          | 100,00        
7   | 620,00          | 50,00         
8   | 640,00          | 50,00         
9   | 800,00          | 80,00         
10  | 1040,00         | 100,00        
11  | 330,00          | 30,00         
12  | 740,00          | 70,00         
13  | 620,00          | 80,00         
14  | 890,00          | 70,00         
15  | 910,00          | 90,00         
16  | 850,00          | 80,00         
17  | 820,00          | 90,00         
18  | 850,00          | 90,00         
19  | 440,00          | 60,00         
20  | 1020,00         | 100,00        
21  | 870,00          | 90,00         
22  | 1040,00         | 90,00         
23  | 590,00          | 50,00         
24  | 1250,00         | 100,00        
25  | 700,00          | 70,00         
26  | 240,00          | 30,00         
27  | 1000,00         | 80,00         
28  | 490,00          | 60,00         
29  | 990,00          | 80,00         
30  | 740,00          | 70,00         
31  | 690,00          | 80,00         
32  | 610,00          | 70,00         
33  | 380,00          | 30,00         
34  | 650,00          | 50,00         
35  | 310,00          | 30,00         
36  | 810,00          | 100,00        
37  | 790,00          | 70,00         
38  | 420,00          | 60,00         
39  | 690,00          | 90,00         
40  | 550,00          | 50,00         
41  | 720,00          | 90,00         
42  | 770,00          | 70,00         
43  | 1160,00         | 100,00        
44  | 1210,00         | 100,00        
45  | 760,00          | 70,00         
46  | 950,00          | 100,00        
47  | 340,00          | 30,00         
48  | 430,00          | 60,00         
49  | 730,00          | 80,00         
50  | 800,00          | 100,00        
51  | 800,00          | 70,00         
52  | 850,00          | 90,00         
53  | 440,00          | 40,00         
54  | 230,00          | 30,00         
55  | 740,00          | 80,00         
56  | 740,00          | 90,00         
57  | 210,00          | 30,00         
58  | 380,00          | 50,00         
59  | 600,00          | 80,00         
60  | 270,00          | 30,00         
61  | 300,00          | 40,00         
62  | 880,00          | 80,00         
63  | 740,00          | 60,00         
64  | 640,00          | 50,00         
65  | 680,00          | 70,00         
66  | 900,00          | 70,00         
67  | 690,00          | 80,00         
68  | 650,00          | 50,00         
69  | 700,00          | 60,00         
70  | 890,00          | 90,00         
71  | 520,00          | 60,00         
72  | 730,00          | 90,00         
73  | 460,00          | 60,00         
74  | 520,00          | 70,00         
75  | 850,00          | 80,00         
76  | 270,00          | 30,00         
77  | 760,00          | 60,00         
78  | 990,00          | 80,00         
79  | 370,00          | 30,00         
80  | 1080,00         | 100,00        
81  | 430,00          | 40,00         
82  | 760,00          | 90,00         
83  | 250,00          | 30,00         
84  | 1180,00         | 100,00        
85  | 640,00          | 60,00         
86  | 940,00          | 90,00         
87  | 510,00          | 50,00         
88  | 310,00          | 40,00         
89  | 1110,00         | 100,00        
90  | 480,00          | 40,00         
91  | 1070,00         | 90,00         
92  | 600,00          | 70,00         
93  | 880,00          | 70,00         
94  | 880,00          | 80,00         
95  | 650,00          | 60,00         
96  | 670,00          | 60,00         
97  | 370,00          | 30,00         
98  | 360,00          | 30,00         
99  | 810,00          | 70,00         
