
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 99,00       | 100,00    | ✓OK    
Instalación 1   | 28,00       | 30,00     | ✓OK    
Instalación 2   | 0,00        | 60,00     | ✓OK    
Instalación 3   | 86,00       | 90,00     | ✓OK    
Instalación 4   | 0,00        | 40,00     | ✓OK    
Instalación 5   | 0,00        | 90,00     | ✓OK    
Instalación 6   | 99,00       | 100,00    | ✓OK    
Instalación 7   | 0,00        | 50,00     | ✓OK    
Instalación 8   | 0,00        | 50,00     | ✓OK    
Instalación 9   | 0,00        | 80,00     | ✓OK    
Instalación 10  | 0,00        | 100,00    | ✓OK    
Instalación 11  | 0,00        | 30,00     | ✓OK    
Instalación 12  | 0,00        | 70,00     | ✓OK    
Instalación 13  | 78,00       | 80,00     | ✓OK    
Instalación 14  | 0,00        | 70,00     | ✓OK    
Instalación 15  | 81,00       | 90,00     | ✓OK    
Instalación 16  | 0,00        | 80,00     | ✓OK    
Instalación 17  | 84,00       | 90,00     | ✓OK    
Instalación 18  | 0,00        | 90,00     | ✓OK    
Instalación 19  | 57,00       | 60,00     | ✓OK    
Instalación 20  | 91,00       | 100,00    | ✓OK    
Instalación 21  | 78,00       | 90,00     | ✓OK    
Instalación 22  | 0,00        | 90,00     | ✓OK    
Instalación 23  | 50,00       | 50,00     | ✓Límite
Instalación 24  | 0,00        | 100,00    | ✓OK    
Instalación 25  | 0,00        | 70,00     | ✓OK    
Instalación 26  | 23,00       | 30,00     | ✓OK    
Instalación 27  | 0,00        | 80,00     | ✓OK    
Instalación 28  | 60,00       | 60,00     | ✓Límite
Instalación 29  | 0,00        | 80,00     | ✓OK    
Instalación 30  | 53,00       | 70,00     | ✓OK    
Instalación 31  | 70,00       | 80,00     | ✓OK    
Instalación 32  | 69,00       | 70,00     | ✓OK    
Instalación 33  | 0,00        | 30,00     | ✓OK    
Instalación 34  | 0,00        | 50,00     | ✓OK    
Instalación 35  | 0,00        | 30,00     | ✓OK    
Instalación 36  | 0,00        | 100,00    | ✓OK    
Instalación 37  | 0,00        | 70,00     | ✓OK    
Instalación 38  | 59,00       | 60,00     | ✓OK    
Instalación 39  | 88,00       | 90,00     | ✓OK    
Instalación 40  | 48,00       | 50,00     | ✓OK    
Instalación 41  | 90,00       | 90,00     | ✓Límite
Instalación 42  | 0,00        | 70,00     | ✓OK    
Instalación 43  | 0,00        | 100,00    | ✓OK    
Instalación 44  | 0,00        | 100,00    | ✓OK    
Instalación 45  | 64,00       | 70,00     | ✓OK    
Instalación 46  | 96,00       | 100,00    | ✓OK    
Instalación 47  | 0,00        | 30,00     | ✓OK    
Instalación 48  | 54,00       | 60,00     | ✓OK    
Instalación 49  | 0,00        | 80,00     | ✓OK    
Instalación 50  | 100,00      | 100,00    | ✓Límite
Instalación 51  | 0,00        | 70,00     | ✓OK    
Instalación 52  | 0,00        | 90,00     | ✓OK    
Instalación 53  | 40,00       | 40,00     | ✓Límite
Instalación 54  | 28,00       | 30,00     | ✓OK    
Instalación 55  | 0,00        | 80,00     | ✓OK    
Instalación 56  | 0,00        | 90,00     | ✓OK    
Instalación 57  | 30,00       | 30,00     | ✓Límite
Instalación 58  | 0,00        | 50,00     | ✓OK    
Instalación 59  | 80,00       | 80,00     | ✓Límite
Instalación 60  | 27,00       | 30,00     | ✓OK    
Instalación 61  | 37,00       | 40,00     | ✓OK    
