
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID  | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0   | 680,00          | 60,00         
1   | 760,00          | 60,00         
2   | 770,00          | 90,00         
3   | 660,00          | 70,00         
4   | 560,00          | 70,00         
5   | 1120,00         | 90,00         
6   | 280,00          | 30,00         
7   | 440,00          | 50,00         
8   | 840,00          | 80,00         
9   | 930,00          | 90,00         
10  | 570,00          | 60,00         
11  | 680,00          | 70,00         
12  | 480,00          | 50,00         
13  | 290,00          | 30,00         
14  | 360,00          | 50,00         
15  | 1150,00         | 100,00        
16  | 780,00          | 80,00         
17  | 690,00          | 60,00         
18  | 340,00          | 40,00         
19  | 1300,00         | 100,00        
20  | 480,00          | 40,00         
21  | 410,00          | 50,00         
22  | 1110,00         | 90,00         
23  | 800,00          | 70,00         
24  | 520,00          | 50,00         
25  | 290,00          | 40,00         
26  | 780,00          | 100,00        
27  | 560,00          | 60,00         
28  | 500,00          | 70,00         
29  | 530,00          | 70,00         
30  | 870,00          | 70,00         
31  | 270,00          | 30,00         
32  | 560,00          | 60,00         
33  | 1150,00         | 100,00        
34  | 460,00          | 50,00         
35  | 720,00          | 60,00         
36  | 1100,00         | 100,00        
37  | 1130,00         | 90,00         
38  | 440,00          | 40,00         
39  | 550,00          | 60,00         
40  | 640,00          | 70,00         
41  | 820,00          | 80,00         
42  | 900,00          | 70,00         
43  | 440,00          | 50,00         
44  | 400,00          | 50,00         
45  | 610,00          | 80,00         
46  | 740,00          | 60,00         
47  | 750,00          | 100,00        
48  | 510,00          | 60,00         
49  | 370,00          | 50,00         
50  | 680,00          | 80,00         
51  | 280,00          | 40,00         
52  | 700,00          | 90,00         
53  | 210,00          | 30,00         
54  | 570,00          | 50,00         
55  | 820,00          | 90,00         
56  | 210,00          | 30,00         
57  | 490,00          | 60,00         
58  | 600,00          | 70,00         
59  | 420,00          | 40,00         
60  | 540,00          | 70,00         
61  | 870,00          | 100,00        
62  | 350,00          | 30,00         
63  | 830,00          | 100,00        
64  | 330,00          | 40,00         
65  | 540,00          | 70,00         
66  | 370,00          | 50,00         
67  | 530,00          | 70,00         
68  | 740,00          | 100,00        
69  | 280,00          | 30,00         
70  | 620,00          | 80,00         
71  | 1030,00         | 90,00         
72  | 340,00          | 30,00         
73  | 520,00          | 60,00         
74  | 520,00          | 40,00         
75  | 360,00          | 50,00         
76  | 670,00          | 80,00         
77  | 530,00          | 70,00         
78  | 290,00          | 40,00         
79  | 940,00          | 80,00         
80  | 680,00          | 60,00         
81  | 470,00          | 40,00         
82  | 880,00          | 90,00         
83  | 850,00          | 70,00         
84  | 760,00          | 100,00        
85  | 530,00          | 70,00         
86  | 840,00          | 90,00         
87  | 510,00          | 40,00         
88  | 480,00          | 50,00         
89  | 1120,00         | 100,00        
90  | 1070,00         | 90,00         
91  | 740,00          | 60,00         
92  | 720,00          | 90,00         
93  | 700,00          | 60,00         
94  | 760,00          | 60,00         
95  | 350,00          | 30,00         
96  | 420,00          | 40,00         
97  | 1300,00         | 100,00        
98  | 450,00          | 50,00         
99  | 380,00          | 30,00         
100 | 890,00          | 70,00         
101 | 1080,00         | 90,00         
102 | 1230,00         | 100,00        
103 | 320,00          | 30,00         
104 | 490,00          | 40,00         
105 | 820,00          | 80,00         
106 | 950,00          | 100,00        
107 | 340,00          | 40,00         
108 | 860,00          | 70,00         
109 | 330,00          | 30,00         
110 | 1130,00         | 90,00         
111 | 640,00          | 60,00         
112 | 1100,00         | 90,00         
113 | 510,00          | 50,00         
114 | 1030,00         | 90,00         
115 | 560,00          | 80,00         
116 | 430,00          | 40,00         
117 | 260,00          | 30,00         
118 | 840,00          | 80,00         
119 | 240,00          | 30,00         
120 | 610,00          | 50,00         
121 | 1120,00         | 90,00         
122 | 330,00          | 40,00         
123 | 650,00          | 60,00         
124 | 1100,00         | 100,00        
125 | 850,00          | 100,00        
126 | 1000,00         | 80,00         
127 | 300,00          | 30,00         
128 | 820,00          | 80,00         
129 | 820,00          | 70,00         
130 | 320,00          | 40,00         
131 | 1050,00         | 100,00        
132 | 1070,00         | 90,00         
133 | 680,00          | 70,00         
134 | 330,00          | 30,00         
135 | 610,00          | 60,00         
136 | 360,00          | 40,00         
137 | 560,00          | 80,00         
138 | 440,00          | 40,00         
139 | 520,00          | 40,00         
140 | 910,00          | 70,00         
141 | 340,00          | 40,00         
142 | 650,00          | 50,00         
143 | 660,00          | 60,00         
144 | 410,00          | 40,00         
145 | 490,00          | 60,00         
146 | 280,00          | 30,00         
147 | 350,00          | 50,00         
148 | 580,00          | 60,00         
149 | 750,00          | 60,00         
150 | 380,00          | 40,00         
151 | 840,00          | 90,00         
152 | 480,00          | 40,00         
153 | 770,00          | 100,00        
154 | 350,00          | 40,00         
155 | 690,00          | 70,00         
156 | 440,00          | 60,00         
157 | 530,00          | 50,00         
158 | 530,00          | 60,00         
159 | 750,00          | 60,00         
160 | 860,00          | 80,00         
161 | 490,00          | 70,00         
162 | 390,00          | 30,00         
163 | 530,00          | 70,00         
164 | 580,00          | 70,00         
165 | 650,00          | 60,00         
166 | 670,00          | 60,00         
167 | 430,00          | 40,00         
168 | 530,00          | 60,00         
169 | 650,00          | 60,00         
170 | 660,00          | 70,00         
171 | 490,00          | 40,00         
172 | 390,00          | 30,00         
173 | 620,00          | 60,00         
174 | 670,00          | 70,00         
175 | 670,00          | 80,00         
176 | 620,00          | 70,00         
177 | 970,00          | 80,00         
178 | 900,00          | 100,00        
179 | 380,00          | 50,00         
180 | 560,00          | 70,00         
181 | 270,00          | 30,00         
182 | 360,00          | 30,00         
183 | 560,00          | 50,00         
184 | 950,00          | 100,00        
185 | 950,00          | 90,00         
186 | 750,00          | 60,00         
187 | 330,00          | 30,00         
188 | 420,00          | 50,00         
189 | 510,00          | 70,00         
190 | 900,00          | 100,00        
191 | 440,00          | 40,00         
192 | 550,00          | 50,00         
193 | 1070,00         | 90,00         
194 | 490,00          | 60,00         
195 | 380,00          | 30,00         
196 | 750,00          | 70,00         
197 | 210,00          | 30,00         
198 | 640,00          | 50,00         
199 | 450,00          | 40,00         
200 | 1080,00         | 90,00         
201 | 1030,00         | 80,00         
202 | 1260,00         | 100,00        
203 | 920,00          | 90,00         
204 | 440,00          | 50,00         
205 | 460,00          | 50,00         
206 | 580,00          | 60,00         
207 | 520,00          | 60,00         
208 | 1160,00         | 100,00        
209 | 610,00          | 50,00         
210 | 360,00          | 40,00         
211 | 770,00          | 100,00        
212 | 850,00          | 80,00         
213 | 280,00          | 40,00         
214 | 1040,00         | 90,00         
215 | 620,00          | 80,00         
216 | 580,00          | 60,00         
217 | 400,00          | 50,00         
218 | 810,00          | 70,00         
219 | 440,00          | 60,00         
220 | 230,00          | 30,00         
221 | 960,00          | 80,00         
222 | 490,00          | 50,00         
223 | 560,00          | 50,00         
224 | 940,00          | 80,00         
225 | 600,00          | 50,00         
226 | 590,00          | 50,00         
227 | 300,00          | 40,00         
228 | 470,00          | 60,00         
229 | 450,00          | 60,00         
230 | 830,00          | 70,00         
231 | 600,00          | 70,00         
232 | 580,00          | 60,00         
233 | 540,00          | 50,00         
234 | 720,00          | 60,00         
235 | 520,00          | 40,00         
236 | 410,00          | 50,00         
237 | 550,00          | 70,00         
238 | 370,00          | 50,00         
239 | 770,00          | 80,00         
240 | 640,00          | 50,00         
241 | 550,00          | 60,00         
242 | 340,00          | 30,00         
243 | 1150,00         | 90,00         
244 | 1090,00         | 100,00        
245 | 980,00          | 80,00         
246 | 630,00          | 50,00         
247 | 580,00          | 50,00         
248 | 630,00          | 70,00         
249 | 1140,00         | 90,00         
250 | 870,00          | 80,00         
251 | 270,00          | 30,00         
252 | 1020,00         | 90,00         
253 | 750,00          | 80,00         
254 | 880,00          | 90,00         
255 | 620,00          | 70,00         
256 | 420,00          | 40,00         
257 | 840,00          | 80,00         
258 | 720,00          | 100,00        
259 | 660,00          | 60,00         
260 | 270,00          | 30,00         
261 | 1000,00         | 90,00         
262 | 210,00          | 30,00         
263 | 510,00          | 70,00         
264 | 980,00          | 100,00        
265 | 700,00          | 60,00         
266 | 1140,00         | 90,00         
267 | 690,00          | 80,00         
268 | 500,00          | 50,00         
269 | 480,00          | 60,00         
270 | 450,00          | 50,00         
271 | 860,00          | 70,00         
272 | 780,00          | 70,00         
273 | 350,00          | 30,00         
274 | 800,00          | 70,00         
275 | 1020,00         | 90,00         
276 | 780,00          | 70,00         
277 | 610,00          | 50,00         
278 | 360,00          | 40,00         
279 | 1160,00         | 100,00        
280 | 520,00          | 60,00         
281 | 730,00          | 100,00        
282 | 640,00          | 60,00         
283 | 1300,00         | 100,00        
284 | 790,00          | 90,00         
285 | 350,00          | 30,00         
286 | 700,00          | 80,00         
287 | 750,00          | 60,00         
288 | 550,00          | 50,00         
289 | 770,00          | 70,00         
290 | 930,00          | 80,00         
291 | 890,00          | 100,00        
292 | 360,00          | 30,00         
293 | 1150,00         | 90,00         
294 | 770,00          | 70,00         
295 | 710,00          | 60,00         
296 | 300,00          | 30,00         
297 | 750,00          | 90,00         
298 | 1290,00         | 100,00        
299 | 870,00          | 90,00         
300 | 540,00          | 50,00         
301 | 820,00          | 100,00        
302 | 360,00          | 40,00         
303 | 930,00          | 90,00         
304 | 530,00          | 60,00         
305 | 800,00          | 70,00         
306 | 440,00          | 40,00         
307 | 600,00          | 80,00         
308 | 1020,00         | 90,00         
309 | 840,00          | 80,00         
310 | 380,00          | 30,00         
311 | 820,00          | 70,00         
312 | 680,00          | 80,00         
313 | 280,00          | 40,00         
314 | 360,00          | 50,00         
315 | 540,00          | 70,00         
316 | 860,00          | 100,00        
317 | 640,00          | 90,00         
318 | 840,00          | 70,00         
319 | 790,00          | 90,00         
320 | 600,00          | 80,00         
321 | 570,00          | 70,00         
322 | 550,00          | 60,00         
323 | 400,00          | 40,00         
324 | 380,00          | 30,00         
325 | 820,00          | 80,00         
326 | 520,00          | 60,00         
327 | 1250,00         | 100,00        
328 | 690,00          | 90,00         
329 | 680,00          | 60,00         
330 | 960,00          | 100,00        
331 | 610,00          | 60,00         
332 | 730,00          | 90,00         
333 | 730,00          | 60,00         
334 | 690,00          | 70,00         
335 | 430,00          | 40,00         
336 | 650,00          | 50,00         
337 | 860,00          | 100,00        
338 | 270,00          | 30,00         
339 | 570,00          | 80,00         
340 | 1020,00         | 80,00         
341 | 980,00          | 80,00         
342 | 550,00          | 70,00         
343 | 1000,00         | 100,00        
344 | 240,00          | 30,00         
345 | 710,00          | 60,00         
346 | 1110,00         | 100,00        
347 | 420,00          | 50,00         
348 | 320,00          | 30,00         
349 | 1000,00         | 90,00         
350 | 660,00          | 60,00         
351 | 830,00          | 70,00         
352 | 380,00          | 50,00         
353 | 500,00          | 40,00         
354 | 1050,00         | 90,00         
355 | 770,00          | 70,00         
356 | 420,00          | 50,00         
357 | 980,00          | 80,00         
358 | 940,00          | 100,00        
359 | 760,00          | 100,00        
360 | 540,00          | 60,00         
361 | 870,00          | 80,00         
362 | 860,00          | 100,00        
363 | 560,00          | 60,00         
364 | 800,00          | 70,00         
365 | 1100,00         | 90,00         
366 | 1270,00         | 100,00        
367 | 550,00          | 50,00         
368 | 440,00          | 60,00         
369 | 380,00          | 50,00         
370 | 780,00          | 70,00         
371 | 290,00          | 30,00         
372 | 520,00          | 40,00         
373 | 680,00          | 60,00         
374 | 540,00          | 50,00         
375 | 480,00          | 60,00         
376 | 1000,00         | 100,00        
377 | 300,00          | 30,00         
378 | 280,00          | 30,00         
379 | 330,00          | 30,00         
380 | 670,00          | 90,00         
381 | 940,00          | 90,00         
382 | 760,00          | 80,00         
383 | 400,00          | 40,00         
384 | 480,00          | 60,00         
385 | 340,00          | 40,00         
386 | 740,00          | 80,00         
387 | 970,00          | 100,00        
388 | 540,00          | 50,00         
389 | 900,00          | 100,00        
390 | 590,00          | 60,00         
391 | 300,00          | 30,00         
392 | 390,00          | 40,00         
393 | 390,00          | 30,00         
394 | 410,00          | 50,00         
395 | 1010,00         | 100,00        
396 | 590,00          | 80,00         
397 | 560,00          | 80,00         
398 | 330,00          | 30,00         
399 | 410,00          | 50,00         

Clientes (Customers)
ID   | Demanda (di) | Incompatibilidad
-----+--------------+-----------------
0    | 12,00        | -               
1    | 9,00         | -               
2    | 5,00         | -               
3    | 5,00         | -               
4    | 9,00         | -               
5    | 7,00         | -               
6    | 5,00         | -               
7    | 18,00        | -               
8    | 18,00        | -               
9    | 17,00        | -               
10   | 10,00        | -               
11   | 13,00        | -               
12   | 19,00        | -               
13   | 18,00        | -               
14   | 7,00         | -               
15   | 13,00        | -               
16   | 18,00        | -               
17   | 11,00        | -               
18   | 18,00        | -               
19   | 17,00        | -               
20   | 13,00        | -               
21   | 13,00        | -               
22   | 6,00         | -               
23   | 18,00        | -               
24   | 7,00         | -               
25   | 11,00        | -               
26   | 15,00        | -               
27   | 19,00        | -               
28   | 20,00        | -               
29   | 12,00        | -               
30   | 12,00        | -               
31   | 16,00        | -               
32   | 8,00         | -               
33   | 9,00         | -               
34   | 13,00        | -               
35   | 19,00        | -               
36   | 16,00        | -               
37   | 6,00         | -               
38   | 12,00        | -               
39   | 18,00        | -               
40   | 5,00         | -               
41   | 8,00         | -               
42   | 5,00         | -               
43   | 15,00        | -               
44   | 14,00        | -               
45   | 6,00         | -               
46   | 9,00         | -               
47   | 17,00        | -               
48   | 12,00        | -               
49   | 10,00        | -               
50   | 11,00        | -               
51   | 19,00        | -               
52   | 9,00         | -               
53   | 9,00         | -               
54   | 11,00        | -               
55   | 15,00        | -               
56   | 16,00        | -               
57   | 14,00        | -               
58   | 5,00         | -               
59   | 12,00        | -               
60   | 14,00        | -               
61   | 12,00        | -               
62   | 15,00        | -               
63   | 19,00        | -               
64   | 8,00         | -               
65   | 11,00        | -               
66   | 16,00        | -               
67   | 13,00        | -               
68   | 17,00        | -               
69   | 8,00         | -               
70   | 13,00        | -               
71   | 7,00         | -               
72   | 7,00         | -               
73   | 15,00        | -               
74   | 16,00        | -               
75   | 17,00        | -               
76   | 11,00        | -               
77   | 13,00        | -               
78   | 20,00        | -               
79   | 6,00         | -               
80   | 16,00        | -               
81   | 6,00         | -               
82   | 10,00        | -               
83   | 12,00        | -               
84   | 9,00         | -               
85   | 5,00         | -               
86   | 16,00        | -               
87   | 14,00        | -               
88   | 19,00        | -               
89   | 9,00         | -               
90   | 11,00        | -               
91   | 20,00        | -               
92   | 10,00        | -               
93   | 7,00         | -               
94   | 10,00        | -               
95   | 5,00         | -               
96   | 16,00        | -               
97   | 15,00        | -               
98   | 16,00        | -               
99   | 8,00         | -               
100  | 15,00        | -               
101  | 6,00         | -               
102  | 11,00        | -               
103  | 14,00        | -               
104  | 18,00        | -               
105  | 6,00         | -               
106  | 16,00        | -               
107  | 18,00        | -               
108  | 14,00        | -               
109  | 9,00         | -               
110  | 19,00        | -               
111  | 5,00         | -               
112  | 16,00        | -               
113  | 13,00        | -               
114  | 18,00        | -               
115  | 13,00        | -               
116  | 9,00         | -               
117  | 20,00        | -               
118  | 20,00        | -               
119  | 12,00        | -               
120  | 20,00        | -               
121  | 13,00        | -               
122  | 15,00        | -               
123  | 13,00        | -               
124  | 9,00         | -               
125  | 12,00        | -               
126  | 9,00         | -               
127  | 18,00        | -               
128  | 19,00        | -               
129  | 10,00        | -               
130  | 18,00        | -               
131  | 13,00        | -               
132  | 7,00         | -               
133  | 10,00        | -               
134  | 20,00        | -               
135  | 7,00         | -               
136  | 16,00        | -               
137  | 15,00        | -               
138  | 17,00        | -               
139  | 16,00        | -               
140  | 12,00        | -               
141  | 7,00         | -               
142  | 12,00        | -               
143  | 12,00        | -               
144  | 11,00        | -               
145  | 17,00        | -               
146  | 6,00         | -               
147  | 13,00        | -               
148  | 14,00        | -               
149  | 18,00        | -               
150  | 19,00        | -               
151  | 16,00        | -               
152  | 10,00        | -               
153  | 13,00        | -               
154  | 13,00        | -               
155  | 6,00         | -               
156  | 5,00         | -               
157  | 11,00        | -               
158  | 10,00        | -               
159  | 15,00        | -               
160  | 12,00        | -               
161  | 8,00         | -               
162  | 20,00        | -               
163  | 9,00         | -               
164  | 6,00         | -               
165  | 14,00        | -               
166  | 13,00        | -               
167  | 10,00        | -               
168  | 9,00         | -               
169  | 16,00        | -               
170  | 17,00        | -               
171  | 17,00        | -               
172  | 8,00         | -               
173  | 20,00        | -               
174  | 14,00        | -               
175  | 6,00         | -               
176  | 11,00        | -               
177  | 20,00        | -               
178  | 17,00        | -               
179  | 7,00         | -               
180  | 7,00         | -               
181  | 15,00        | -               
182  | 15,00        | -               
183  | 10,00        | -               
184  | 20,00        | -               
185  | 9,00         | -               
186  | 14,00        | -               
187  | 5,00         | -               
188  | 18,00        | -               
189  | 10,00        | -               
190  | 9,00         | -               
191  | 18,00        | -               
192  | 13,00        | -               
193  | 11,00        | -               
194  | 7,00         | -               
195  | 11,00        | -               
196  | 6,00         | -               
197  | 8,00         | -               
198  | 10,00        | -               
