
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente      | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
-------------+-----------------+--------------+--------------------+---------
Cliente 0    | Instalación 205 | 12,00        | 1,00               | 12,00   
Cliente 1    | Instalación 124 | 9,00         | 1,00               | 9,00    
Cliente 2    | Instalación 273 | 5,00         | 4,00               | 20,00   
Cliente 3    | Instalación 135 | 5,00         | 10,00              | 50,00   
Cliente 4    | Instalación 7   | 9,00         | 7,00               | 63,00   
Cliente 5    | Instalación 188 | 7,00         | 3,00               | 21,00   
Cliente 6    | Instalación 48  | 5,00         | 3,00               | 15,00   
Cliente 7    | Instalación 178 | 18,00        | 7,00               | 126,00  
Cliente 8    | Instalación 386 | 18,00        | 3,00               | 54,00   
Cliente 9    | Instalación 270 | 17,00        | 4,00               | 68,00   
Cliente 10   | Instalación 103 | 10,00        | 2,00               | 20,00   
Cliente 11   | Instalación 58  | 13,00        | 13,00              | 169,00  
Cliente 12   | Instalación 283 | 19,00        | 0,00               | 0,00    
Cliente 13   | Instalación 397 | 18,00        | 2,00               | 36,00   
Cliente 14   | Instalación 85  | 7,00         | 4,00               | 28,00   
Cliente 15   | Instalación 371 | 13,00        | 1,00               | 13,00   
Cliente 16   | Instalación 380 | 18,00        | 9,00               | 162,00  
Cliente 17   | Instalación 57  | 11,00        | 6,00               | 66,00   
Cliente 18   | Instalación 313 | 18,00        | 3,00               | 54,00   
Cliente 19   | Instalación 92  | 17,00        | 5,00               | 85,00   
Cliente 20   | Instalación 370 | 13,00        | 1,00               | 13,00   
Cliente 21   | Instalación 390 | 13,00        | 3,00               | 39,00   
Cliente 22   | Instalación 284 | 6,00         | 4,00               | 24,00   
Cliente 23   | Instalación 222 | 18,00        | 3,00               | 54,00   
Cliente 24   | Instalación 64  | 7,00         | 3,00               | 21,00   
Cliente 25   | Instalación 77  | 11,00        | 4,00               | 44,00   
Cliente 26   | Instalación 304 | 15,00        | 2,00               | 30,00   
Cliente 27   | Instalación 73  | 19,00        | 4,00               | 76,00   
Cliente 28   | Instalación 158 | 1,00         | 1,00               | 1,00    
Cliente 28   | Instalación 205 | 19,00        | 5,00               | 95,00   
Cliente 29   | Instalación 45  | 12,00        | 2,00               | 24,00   
Cliente 30   | Instalación 197 | 12,00        | 4,00               | 48,00   
Cliente 31   | Instalación 65  | 16,00        | 5,00               | 80,00   
Cliente 32   | Instalación 176 | 8,00         | 5,00               | 40,00   
Cliente 33   | Instalación 33  | 9,00         | 1,00               | 9,00    
Cliente 34   | Instalación 174 | 13,00        | 1,00               | 13,00   
Cliente 35   | Instalación 339 | 19,00        | 6,00               | 114,00  
Cliente 36   | Instalación 328 | 16,00        | 4,00               | 64,00   
Cliente 37   | Instalación 164 | 6,00         | 3,00               | 18,00   
Cliente 38   | Instalación 106 | 12,00        | 3,00               | 36,00   
Cliente 39   | Instalación 359 | 18,00        | 8,00               | 144,00  
Cliente 40   | Instalación 67  | 5,00         | 4,00               | 20,00   
Cliente 41   | Instalación 193 | 8,00         | 6,00               | 48,00   
Cliente 42   | Instalación 49  | 5,00         | 7,00               | 35,00   
Cliente 43   | Instalación 151 | 15,00        | 2,00               | 30,00   
Cliente 44   | Instalación 317 | 14,00        | 11,00              | 154,00  
Cliente 45   | Instalación 136 | 6,00         | 4,00               | 24,00   
Cliente 46   | Instalación 25  | 9,00         | 4,00               | 36,00   
Cliente 47   | Instalación 174 | 17,00        | 3,00               | 51,00   
Cliente 48   | Instalación 222 | 12,00        | 10,00              | 120,00  
Cliente 49   | Instalación 151 | 10,00        | 9,00               | 90,00   
