
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 0,00        | 60,00     | ✓OK    
Instalación 1   | 0,00        | 60,00     | ✓OK    
Instalación 2   | 90,00       | 90,00     | ✓Límite
Instalación 3   | 64,00       | 70,00     | ✓OK    
Instalación 4   | 69,00       | 70,00     | ✓OK    
Instalación 5   | 0,00        | 90,00     | ✓OK    
Instalación 6   | 30,00       | 30,00     | ✓Límite
Instalación 7   | 49,00       | 50,00     | ✓OK    
Instalación 8   | 0,00        | 80,00     | ✓OK    
Instalación 9   | 0,00        | 90,00     | ✓OK    
Instalación 10  | 0,00        | 60,00     | ✓OK    
Instalación 11  | 67,00       | 70,00     | ✓OK    
Instalación 12  | 0,00        | 50,00     | ✓OK    
Instalación 13  | 30,00       | 30,00     | ✓Límite
Instalación 14  | 50,00       | 50,00     | ✓Límite
Instalación 15  | 0,00        | 100,00    | ✓OK    
Instalación 16  | 79,00       | 80,00     | ✓OK    
Instalación 17  | 0,00        | 60,00     | ✓OK    
Instalación 18  | 40,00       | 40,00     | ✓Límite
Instalación 19  | 0,00        | 100,00    | ✓OK    
Instalación 20  | 0,00        | 40,00     | ✓OK    
Instalación 21  | 49,00       | 50,00     | ✓OK    
Instalación 22  | 0,00        | 90,00     | ✓OK    
Instalación 23  | 0,00        | 70,00     | ✓OK    
Instalación 24  | 50,00       | 50,00     | ✓Límite
Instalación 25  | 40,00       | 40,00     | ✓Límite
Instalación 26  | 100,00      | 100,00    | ✓Límite
Instalación 27  | 0,00        | 60,00     | ✓OK    
Instalación 28  | 69,00       | 70,00     | ✓OK    
Instalación 29  | 70,00       | 70,00     | ✓Límite
Instalación 30  | 0,00        | 70,00     | ✓OK    
Instalación 31  | 29,00       | 30,00     | ✓OK    
Instalación 32  | 59,00       | 60,00     | ✓OK    
Instalación 33  | 100,00      | 100,00    | ✓Límite
Instalación 34  | 0,00        | 50,00     | ✓OK    
Instalación 35  | 0,00        | 60,00     | ✓OK    
Instalación 36  | 0,00        | 100,00    | ✓OK    
Instalación 37  | 0,00        | 90,00     | ✓OK    
Instalación 38  | 37,00       | 40,00     | ✓OK    
Instalación 39  | 59,00       | 60,00     | ✓OK    
Instalación 40  | 0,00        | 70,00     | ✓OK    
Instalación 41  | 0,00        | 80,00     | ✓OK    
Instalación 42  | 0,00        | 70,00     | ✓OK    
Instalación 43  | 0,00        | 50,00     | ✓OK    
Instalación 44  | 49,00       | 50,00     | ✓OK    
Instalación 45  | 80,00       | 80,00     | ✓Límite
Instalación 46  | 0,00        | 60,00     | ✓OK    
Instalación 47  | 100,00      | 100,00    | ✓Límite
Instalación 48  | 59,00       | 60,00     | ✓OK    
Instalación 49  | 48,00       | 50,00     | ✓OK    
Instalación 50  | 0,00        | 80,00     | ✓OK    
Instalación 51  | 40,00       | 40,00     | ✓Límite
Instalación 52  | 0,00        | 90,00     | ✓OK    
Instalación 53  | 29,00       | 30,00     | ✓OK    
Instalación 54  | 0,00        | 50,00     | ✓OK    
Instalación 55  | 90,00       | 90,00     | ✓Límite
Instalación 56  | 30,00       | 30,00     | ✓Límite
Instalación 57  | 60,00       | 60,00     | ✓Límite
Instalación 58  | 68,00       | 70,00     | ✓OK    
Instalación 59  | 0,00        | 40,00     | ✓OK    
Instalación 60  | 67,00       | 70,00     | ✓OK    
Instalación 61  | 98,00       | 100,00    | ✓OK    
Instalación 62  | 0,00        | 30,00     | ✓OK    
Instalación 63  | 99,00       | 100,00    | ✓OK    
Instalación 64  | 40,00       | 40,00     | ✓Límite
Instalación 65  | 67,00       | 70,00     | ✓OK    
Instalación 66  | 49,00       | 50,00     | ✓OK    
Instalación 67  | 57,00       | 70,00     | ✓OK    
Instalación 68  | 99,00       | 100,00    | ✓OK    
Instalación 69  | 29,00       | 30,00     | ✓OK    
Instalación 70  | 79,00       | 80,00     | ✓OK    
Instalación 71  | 80,00       | 90,00     | ✓OK    
Instalación 72  | 0,00        | 30,00     | ✓OK    
Instalación 73  | 60,00       | 60,00     | ✓Límite
Instalación 74  | 40,00       | 40,00     | ✓Límite
Instalación 75  | 46,00       | 50,00     | ✓OK    
Instalación 76  | 0,00        | 80,00     | ✓OK    
Instalación 77  | 70,00       | 70,00     | ✓Límite
Instalación 78  | 39,00       | 40,00     | ✓OK    
Instalación 79  | 0,00        | 80,00     | ✓OK    
Instalación 80  | 0,00        | 60,00     | ✓OK    
Instalación 81  | 0,00        | 40,00     | ✓OK    
Instalación 82  | 86,00       | 90,00     | ✓OK    
Instalación 83  | 0,00        | 70,00     | ✓OK    
Instalación 84  | 92,00       | 100,00    | ✓OK    
Instalación 85  | 69,00       | 70,00     | ✓OK    
Instalación 86  | 0,00        | 90,00     | ✓OK    
Instalación 87  | 0,00        | 40,00     | ✓OK    
Instalación 88  | 0,00        | 50,00     | ✓OK    
Instalación 89  | 0,00        | 100,00    | ✓OK    
Instalación 90  | 0,00        | 90,00     | ✓OK    
Instalación 91  | 0,00        | 60,00     | ✓OK    
Instalación 92  | 87,00       | 90,00     | ✓OK    
Instalación 93  | 0,00        | 60,00     | ✓OK    
Instalación 94  | 0,00        | 60,00     | ✓OK    
Instalación 95  | 0,00        | 30,00     | ✓OK    
Instalación 96  | 37,00       | 40,00     | ✓OK    
Instalación 97  | 0,00        | 100,00    | ✓OK    
Instalación 98  | 50,00       | 50,00     | ✓Límite
Instalación 99  | 0,00        | 30,00     | ✓OK    
Instalación 100 | 0,00        | 70,00     | ✓OK    
Instalación 101 | 0,00        | 90,00     | ✓OK    
Instalación 102 | 0,00        | 100,00    | ✓OK    
Instalación 103 | 30,00       | 30,00     | ✓Límite
Instalación 104 | 0,00        | 40,00     | ✓OK    
Instalación 105 | 77,00       | 80,00     | ✓OK    
Instalación 106 | 99,00       | 100,00    | ✓OK    
Instalación 107 | 39,00       | 40,00     | ✓OK    
Instalación 108 | 0,00        | 70,00     | ✓OK    
Instalación 109 | 0,00        | 30,00     | ✓OK    
Instalación 110 | 0,00        | 90,00     | ✓OK    
Instalación 111 | 0,00        | 60,00     | ✓OK    
Instalación 112 | 88,00       | 90,00     | ✓OK    
Instalación 113 | 49,00       | 50,00     | ✓OK    
Instalación 114 | 0,00        | 90,00     | ✓OK    
Instalación 115 | 77,00       | 80,00     | ✓OK    
Instalación 116 | 0,00        | 40,00     | ✓OK    
Instalación 117 | 30,00       | 30,00     | ✓Límite
Instalación 118 | 80,00       | 80,00     | ✓Límite
Instalación 119 | 30,00       | 30,00     | ✓Límite
Instalación 120 | 0,00        | 50,00     | ✓OK    
Instalación 121 | 0,00        | 90,00     | ✓OK    
Instalación 122 | 40,00       | 40,00     | ✓Límite
Instalación 123 | 59,00       | 60,00     | ✓OK    
Instalación 124 | 100,00      | 100,00    | ✓Límite
Instalación 125 | 100,00      | 100,00    | ✓Límite
Instalación 126 | 0,00        | 80,00     | ✓OK    
Instalación 127 | 0,00        | 30,00     | ✓OK    
Instalación 128 | 0,00        | 80,00     | ✓OK    
Instalación 129 | 0,00        | 70,00     | ✓OK    
Instalación 130 | 0,00        | 40,00     | ✓OK    
Instalación 131 | 98,00       | 100,00    | ✓OK    
Instalación 132 | 0,00        | 90,00     | ✓OK    
Instalación 133 | 0,00        | 70,00     | ✓OK    
Instalación 134 | 0,00        | 30,00     | ✓OK    
Instalación 135 | 58,00       | 60,00     | ✓OK    
Instalación 136 | 40,00       | 40,00     | ✓Límite
Instalación 137 | 80,00       | 80,00     | ✓Límite
Instalación 138 | 0,00        | 40,00     | ✓OK    
Instalación 139 | 0,00        | 40,00     | ✓OK    
Instalación 140 | 0,00        | 70,00     | ✓OK    
Instalación 141 | 40,00       | 40,00     | ✓Límite
Instalación 142 | 0,00        | 50,00     | ✓OK    
Instalación 143 | 0,00        | 60,00     | ✓OK    
Instalación 144 | 0,00        | 40,00     | ✓OK    
Instalación 145 | 59,00       | 60,00     | ✓OK    
Instalación 146 | 29,00       | 30,00     | ✓OK    
Instalación 147 | 50,00       | 50,00     | ✓Límite
Instalación 148 | 0,00        | 60,00     | ✓OK    
Instalación 149 | 0,00        | 60,00     | ✓OK    
Instalación 150 | 39,00       | 40,00     | ✓OK    
Instalación 151 | 79,00       | 90,00     | ✓OK    
Instalación 152 | 0,00        | 40,00     | ✓OK    
Instalación 153 | 99,00       | 100,00    | ✓OK    
Instalación 154 | 0,00        | 40,00     | ✓OK    
Instalación 155 | 0,00        | 70,00     | ✓OK    
Instalación 156 | 60,00       | 60,00     | ✓Límite
Instalación 157 | 50,00       | 50,00     | ✓Límite
Instalación 158 | 59,00       | 60,00     | ✓OK    
Instalación 159 | 0,00        | 60,00     | ✓OK    
Instalación 160 | 0,00        | 80,00     | ✓OK    
Instalación 161 | 69,00       | 70,00     | ✓OK    
Instalación 162 | 30,00       | 30,00     | ✓Límite
Instalación 163 | 68,00       | 70,00     | ✓OK    
Instalación 164 | 69,00       | 70,00     | ✓OK    
Instalación 165 | 0,00        | 60,00     | ✓OK    
Instalación 166 | 0,00        | 60,00     | ✓OK    
Instalación 167 | 0,00        | 40,00     | ✓OK    
Instalación 168 | 0,00        | 60,00     | ✓OK    
Instalación 169 | 0,00        | 60,00     | ✓OK    
Instalación 170 | 70,00       | 70,00     | ✓Límite
Instalación 171 | 0,00        | 40,00     | ✓OK    
Instalación 172 | 0,00        | 30,00     | ✓OK    
Instalación 173 | 58,00       | 60,00     | ✓OK    
Instalación 174 | 70,00       | 70,00     | ✓Límite
Instalación 175 | 80,00       | 80,00     | ✓Límite
Instalación 176 | 67,00       | 70,00     | ✓OK    
Instalación 177 | 0,00        | 80,00     | ✓OK    
Instalación 178 | 100,00      | 100,00    | ✓Límite
Instalación 179 | 50,00       | 50,00     | ✓Límite
Instalación 180 | 69,00       | 70,00     | ✓OK    
Instalación 181 | 30,00       | 30,00     | ✓Límite
Instalación 182 | 0,00        | 30,00     | ✓OK    
Instalación 183 | 0,00        | 50,00     | ✓OK    
Instalación 184 | 100,00      | 100,00    | ✓Límite
Instalación 185 | 0,00        | 90,00     | ✓OK    
Instalación 186 | 0,00        | 60,00     | ✓OK    
Instalación 187 | 0,00        | 30,00     | ✓OK    
Instalación 188 | 45,00       | 50,00     | ✓OK    
Instalación 189 | 68,00       | 70,00     | ✓OK    
Instalación 190 | 0,00        | 100,00    | ✓OK    
Instalación 191 | 39,00       | 40,00     | ✓OK    
Instalación 192 | 0,00        | 50,00     | ✓OK    
Instalación 193 | 90,00       | 90,00     | ✓Límite
Instalación 194 | 60,00       | 60,00     | ✓Límite
Instalación 195 | 0,00        | 30,00     | ✓OK    
Instalación 196 | 0,00        | 70,00     | ✓OK    
Instalación 197 | 30,00       | 30,00     | ✓Límite
Instalación 198 | 0,00        | 50,00     | ✓OK    
Instalación 199 | 40,00       | 40,00     | ✓Límite
Instalación 200 | 0,00        | 90,00     | ✓OK    
Instalación 201 | 0,00        | 80,00     | ✓OK    
Instalación 202 | 0,00        | 100,00    | ✓OK    
Instalación 203 | 0,00        | 90,00     | ✓OK    
Instalación 204 | 48,00       | 50,00     | ✓OK    
Instalación 205 | 50,00       | 50,00     | ✓Límite
Instalación 206 | 60,00       | 60,00     | ✓Límite
Instalación 207 | 0,00        | 60,00     | ✓OK    
Instalación 208 | 100,00      | 100,00    | ✓Límite
Instalación 209 | 0,00        | 50,00     | ✓OK    
Instalación 210 | 37,00       | 40,00     | ✓OK    
Instalación 211 | 0,00        | 100,00    | ✓OK    
Instalación 212 | 76,00       | 80,00     | ✓OK    
Instalación 213 | 0,00        | 40,00     | ✓OK    
Instalación 214 | 90,00       | 90,00     | ✓Límite
Instalación 215 | 78,00       | 80,00     | ✓OK    
Instalación 216 | 0,00        | 60,00     | ✓OK    
Instalación 217 | 50,00       | 50,00     | ✓Límite
Instalación 218 | 0,00        | 70,00     | ✓OK    
Instalación 219 | 60,00       | 60,00     | ✓Límite
Instalación 220 | 18,00       | 30,00     | ✓OK    
Instalación 221 | 0,00        | 80,00     | ✓OK    
Instalación 222 | 49,00       | 50,00     | ✓OK    
Instalación 223 | 0,00        | 50,00     | ✓OK    
Instalación 224 | 0,00        | 80,00     | ✓OK    
Instalación 225 | 0,00        | 50,00     | ✓OK    
Instalación 226 | 0,00        | 50,00     | ✓OK    
Instalación 227 | 0,00        | 40,00     | ✓OK    
Instalación 228 | 0,00        | 60,00     | ✓OK    
Instalación 229 | 60,00       | 60,00     | ✓Límite
Instalación 230 | 64,00       | 70,00     | ✓OK    
Instalación 231 | 70,00       | 70,00     | ✓Límite
Instalación 232 | 60,00       | 60,00     | ✓Límite
Instalación 233 | 50,00       | 50,00     | ✓Límite
Instalación 234 | 60,00       | 60,00     | ✓Límite
Instalación 235 | 0,00        | 40,00     | ✓OK    
Instalación 236 | 50,00       | 50,00     | ✓Límite
Instalación 237 | 70,00       | 70,00     | ✓Límite
Instalación 238 | 50,00       | 50,00     | ✓Límite
Instalación 239 | 0,00        | 80,00     | ✓OK    
Instalación 240 | 0,00        | 50,00     | ✓OK    
Instalación 241 | 0,00        | 60,00     | ✓OK    
Instalación 242 | 0,00        | 30,00     | ✓OK    
Instalación 243 | 0,00        | 90,00     | ✓OK    
Instalación 244 | 99,00       | 100,00    | ✓OK    
Instalación 245 | 0,00        | 80,00     | ✓OK    
Instalación 246 | 0,00        | 50,00     | ✓OK    
Instalación 247 | 0,00        | 50,00     | ✓OK    
Instalación 248 | 70,00       | 70,00     | ✓Límite
Instalación 249 | 88,00       | 90,00     | ✓OK    
Instalación 250 | 0,00        | 80,00     | ✓OK    
Instalación 251 | 30,00       | 30,00     | ✓Límite
Instalación 252 | 0,00        | 90,00     | ✓OK    
Instalación 253 | 80,00       | 80,00     | ✓Límite
Instalación 254 | 90,00       | 90,00     | ✓Límite
Instalación 255 | 66,00       | 70,00     | ✓OK    
Instalación 256 | 40,00       | 40,00     | ✓Límite
Instalación 257 | 0,00        | 80,00     | ✓OK    
Instalación 258 | 100,00      | 100,00    | ✓Límite
Instalación 259 | 0,00        | 60,00     | ✓OK    
Instalación 260 | 0,00        | 30,00     | ✓OK    
Instalación 261 | 86,00       | 90,00     | ✓OK    
Instalación 262 | 30,00       | 30,00     | ✓Límite
Instalación 263 | 67,00       | 70,00     | ✓OK    
Instalación 264 | 0,00        | 100,00    | ✓OK    
Instalación 265 | 0,00        | 60,00     | ✓OK    
Instalación 266 | 0,00        | 90,00     | ✓OK    
Instalación 267 | 77,00       | 80,00     | ✓OK    
Instalación 268 | 0,00        | 50,00     | ✓OK    
