
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación     | Estado  | Coste Fijo
----------------+---------+-----------
Instalación 0   | Abierta | 1200,00   
Instalación 1   | Cerrada | 0,00      
Instalación 2   | Abierta | 420,00    
Instalación 3   | Cerrada | 0,00      
Instalación 4   | Abierta | 770,00    
Instalación 5   | Abierta | 500,00    
Instalación 6   | Abierta | 630,00    
Instalación 7   | Abierta | 390,00    
Instalación 8   | Abierta | 770,00    
Instalación 9   | Cerrada | 0,00      
Instalación 10  | Abierta | 330,00    
Instalación 11  | Abierta | 570,00    
Instalación 12  | Cerrada | 0,00      
Instalación 13  | Cerrada | 0,00      
Instalación 14  | Cerrada | 0,00      
Instalación 15  | Abierta | 380,00    
Instalación 16  | Cerrada | 0,00      
Instalación 17  | Cerrada | 0,00      
Instalación 18  | Abierta | 400,00    
Instalación 19  | Cerrada | 0,00      
Instalación 20  | Cerrada | 0,00      
Instalación 21  | Abierta | 1020,00   
Instalación 22  | Cerrada | 0,00      
Instalación 23  | Cerrada | 0,00      
Instalación 24  | Abierta | 720,00    
Instalación 25  | Cerrada | 0,00      
Instalación 26  | Abierta | 400,00    
Instalación 27  | Cerrada | 0,00      
Instalación 28  | Cerrada | 0,00      
Instalación 29  | Abierta | 380,00    
Instalación 30  | Cerrada | 0,00      
Instalación 31  | Abierta | 570,00    
Instalación 32  | Cerrada | 0,00      
Instalación 33  | Abierta | 320,00    
Instalación 34  | Cerrada | 0,00      
Instalación 35  | Abierta | 950,00    
Instalación 36  | Abierta | 420,00    
Instalación 37  | Abierta | 360,00    
Instalación 38  | Cerrada | 0,00      
Instalación 39  | Abierta | 680,00    
Instalación 40  | Cerrada | 0,00      
Instalación 41  | Cerrada | 0,00      
Instalación 42  | Abierta | 380,00    
Instalación 43  | Abierta | 590,00    
Instalación 44  | Abierta | 280,00    
Instalación 45  | Cerrada | 0,00      
Instalación 46  | Abierta | 490,00    
Instalación 47  | Abierta | 370,00    
Instalación 48  | Abierta | 1230,00   
Instalación 49  | Cerrada | 0,00      
Instalación 50  | Cerrada | 0,00      
Instalación 51  | Abierta | 860,00    
Instalación 52  | Cerrada | 0,00      
Instalación 53  | Cerrada | 0,00      
Instalación 54  | Cerrada | 0,00      
Instalación 55  | Cerrada | 0,00      
Instalación 56  | Cerrada | 0,00      
Instalación 57  | Cerrada | 0,00      
Instalación 58  | Cerrada | 0,00      
Instalación 59  | Cerrada | 0,00      
Instalación 60  | Abierta | 410,00    
Instalación 61  | Abierta | 300,00    
Instalación 62  | Cerrada | 0,00      
Instalación 63  | Abierta | 330,00    
Instalación 64  | Cerrada | 0,00      
Instalación 65  | Abierta | 600,00    
Instalación 66  | Cerrada | 0,00      
Instalación 67  | Abierta | 770,00    
Instalación 68  | Cerrada | 0,00      
Instalación 69  | Abierta | 770,00    
Instalación 70  | Abierta | 660,00    
Instalación 71  | Cerrada | 0,00      
Instalación 72  | Cerrada | 0,00      
Instalación 73  | Abierta | 540,00    
Instalación 74  | Cerrada | 0,00      
Instalación 75  | Cerrada | 0,00      
Instalación 76  | Abierta | 210,00    
Instalación 77  | Cerrada | 0,00      
Instalación 78  | Abierta | 790,00    
Instalación 79  | Abierta | 370,00    
Instalación 80  | Abierta | 740,00    
Instalación 81  | Abierta | 290,00    
Instalación 82  | Cerrada | 0,00      
Instalación 83  | Cerrada | 0,00      
Instalación 84  | Abierta | 780,00    
Instalación 85  | Cerrada | 0,00      
Instalación 86  | Cerrada | 0,00      
Instalación 87  | Abierta | 350,00    
Instalación 88  | Abierta | 370,00    
Instalación 89  | Cerrada | 0,00      
Instalación 90  | Abierta | 400,00    
Instalación 91  | Cerrada | 0,00      
Instalación 92  | Abierta | 410,00    
Instalación 93  | Abierta | 470,00    
Instalación 94  | Abierta | 910,00    
Instalación 95  | Cerrada | 0,00      
Instalación 96  | Cerrada | 0,00      
Instalación 97  | Abierta | 440,00    
Instalación 98  | Abierta | 680,00    
Instalación 99  | Abierta | 320,00    
Instalación 100 | Abierta | 490,00    
Instalación 101 | Cerrada | 0,00      
Instalación 102 | Cerrada | 0,00      
Instalación 103 | Abierta | 360,00    
Instalación 104 | Abierta | 420,00    
Instalación 105 | Cerrada | 0,00      
Instalación 106 | Abierta | 520,00    
Instalación 107 | Abierta | 450,00    
Instalación 108 | Abierta | 790,00    
Instalación 109 | Abierta | 720,00    
Instalación 110 | Abierta | 590,00    
Instalación 111 | Abierta | 840,00    
Instalación 112 | Abierta | 1140,00   
Instalación 113 | Abierta | 760,00    
Instalación 114 | Cerrada | 0,00      
Instalación 115 | Abierta | 330,00    
Instalación 116 | Cerrada | 0,00      
Instalación 117 | Cerrada | 0,00      
Instalación 118 | Cerrada | 0,00      
Instalación 119 | Cerrada | 0,00      
Instalación 120 | Cerrada | 0,00      
Instalación 121 | Abierta | 490,00    
Instalación 122 | Cerrada | 0,00      
Instalación 123 | Abierta | 990,00    
Instalación 124 | Abierta | 780,00    
Instalación 125 | Cerrada | 0,00      
Instalación 126 | Cerrada | 0,00      
Instalación 127 | Abierta | 400,00    
Instalación 128 | Abierta | 460,00    
Instalación 129 | Abierta | 510,00    
Instalación 130 | Cerrada | 0,00      
Instalación 131 | Cerrada | 0,00      
Instalación 132 | Abierta | 640,00    
Instalación 133 | Abierta | 660,00    
Instalación 134 | Cerrada | 0,00      
Instalación 135 | Cerrada | 0,00      
Instalación 136 | Abierta | 600,00    
Instalación 137 | Abierta | 320,00    
Instalación 138 | Cerrada | 0,00      
Instalación 139 | Cerrada | 0,00      
Instalación 140 | Cerrada | 0,00      
Instalación 141 | Abierta | 460,00    
Instalación 142 | Abierta | 650,00    
Instalación 143 | Cerrada | 0,00      
Instalación 144 | Abierta | 550,00    
Instalación 145 | Cerrada | 0,00      
Instalación 146 | Abierta | 310,00    
Instalación 147 | Abierta | 460,00    
Instalación 148 | Cerrada | 0,00      
Instalación 149 | Cerrada | 0,00      
TOTAL           |         | 43980,00  
