
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación     | Carga Total | Capacidad | Estado 
----------------+-------------+-----------+--------
Instalación 0   | 100,00      | 100,00    | ✓Límite
Instalación 1   | 0,00        | 50,00     | ✓OK    
Instalación 2   | 39,00       | 40,00     | ✓OK    
Instalación 3   | 0,00        | 50,00     | ✓OK    
Instalación 4   | 98,00       | 100,00    | ✓OK    
Instalación 5   | 68,00       | 70,00     | ✓OK    
Instalación 6   | 79,00       | 80,00     | ✓OK    
Instalación 7   | 28,00       | 30,00     | ✓OK    
Instalación 8   | 79,00       | 80,00     | ✓OK    
Instalación 9   | 0,00        | 60,00     | ✓OK    
Instalación 10  | 37,00       | 40,00     | ✓OK    
Instalación 11  | 47,00       | 50,00     | ✓OK    
Instalación 12  | 0,00        | 80,00     | ✓OK    
Instalación 13  | 0,00        | 80,00     | ✓OK    
Instalación 14  | 0,00        | 100,00    | ✓OK    
Instalación 15  | 40,00       | 40,00     | ✓Límite
Instalación 16  | 0,00        | 80,00     | ✓OK    
Instalación 17  | 0,00        | 90,00     | ✓OK    
Instalación 18  | 50,00       | 50,00     | ✓Límite
Instalación 19  | 0,00        | 100,00    | ✓OK    
Instalación 20  | 0,00        | 70,00     | ✓OK    
Instalación 21  | 84,00       | 90,00     | ✓OK    
Instalación 22  | 0,00        | 100,00    | ✓OK    
Instalación 23  | 0,00        | 90,00     | ✓OK    
Instalación 24  | 95,00       | 100,00    | ✓OK    
Instalación 25  | 0,00        | 90,00     | ✓OK    
Instalación 26  | 34,00       | 40,00     | ✓OK    
Instalación 27  | 0,00        | 60,00     | ✓OK    
Instalación 28  | 0,00        | 30,00     | ✓OK    
Instalación 29  | 50,00       | 50,00     | ✓Límite
Instalación 30  | 0,00        | 90,00     | ✓OK    
Instalación 31  | 58,00       | 60,00     | ✓OK    
Instalación 32  | 0,00        | 30,00     | ✓OK    
Instalación 33  | 38,00       | 40,00     | ✓OK    
Instalación 34  | 0,00        | 40,00     | ✓OK    
Instalación 35  | 89,00       | 90,00     | ✓OK    
Instalación 36  | 36,00       | 40,00     | ✓OK    
Instalación 37  | 47,00       | 50,00     | ✓OK    
Instalación 38  | 0,00        | 80,00     | ✓OK    
Instalación 39  | 60,00       | 60,00     | ✓Límite
Instalación 40  | 0,00        | 70,00     | ✓OK    
Instalación 41  | 0,00        | 70,00     | ✓OK    
Instalación 42  | 29,00       | 30,00     | ✓OK    
Instalación 43  | 37,00       | 80,00     | ✓OK    
Instalación 44  | 30,00       | 30,00     | ✓Límite
Instalación 45  | 0,00        | 100,00    | ✓OK    
Instalación 46  | 36,00       | 40,00     | ✓OK    
Instalación 47  | 40,00       | 40,00     | ✓Límite
Instalación 48  | 93,00       | 100,00    | ✓OK    
Instalación 49  | 0,00        | 50,00     | ✓OK    
Instalación 50  | 0,00        | 70,00     | ✓OK    
Instalación 51  | 96,00       | 100,00    | ✓OK    
Instalación 52  | 0,00        | 70,00     | ✓OK    
Instalación 53  | 0,00        | 100,00    | ✓OK    
Instalación 54  | 0,00        | 60,00     | ✓OK    
Instalación 55  | 0,00        | 90,00     | ✓OK    
Instalación 56  | 0,00        | 30,00     | ✓OK    
Instalación 57  | 0,00        | 100,00    | ✓OK    
Instalación 58  | 0,00        | 90,00     | ✓OK    
Instalación 59  | 0,00        | 50,00     | ✓OK    
Instalación 60  | 37,00       | 40,00     | ✓OK    
Instalación 61  | 26,00       | 30,00     | ✓OK    
Instalación 62  | 0,00        | 90,00     | ✓OK    
Instalación 63  | 29,00       | 30,00     | ✓OK    
Instalación 64  | 0,00        | 60,00     | ✓OK    
