
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación     | Demanda | Asignada | Porcentaje (%)
------------+-----------------+---------+----------+---------------
Cliente 0   | Instalación 51  | 9,00    | 9,00     | 100,0 %       
Cliente 1   | Instalación 0   | 20,00   | 20,00    | 100,0 %       
Cliente 2   | Instalación 4   | 20,00   | 20,00    | 100,0 %       
Cliente 3   | Instalación 113 | 12,00   | 12,00    | 100,0 %       
Cliente 4   | Instalación 90  | 5,00    | 5,00     | 100,0 %       
Cliente 5   | Instalación 110 | 11,00   | 11,00    | 100,0 %       
Cliente 6   | Instalación 51  | 17,00   | 17,00    | 100,0 %       
Cliente 7   | Instalación 35  | 8,00    | 8,00     | 100,0 %       
Cliente 8   | Instalación 100 | 15,00   | 15,00    | 100,0 %       
Cliente 9   | Instalación 137 | 16,00   | 16,00    | 100,0 %       
Cliente 10  | Instalación 48  | 6,00    | 6,00     | 100,0 %       
Cliente 11  | Instalación 103 | 19,00   | 19,00    | 100,0 %       
Cliente 12  | Instalación 42  | 20,00   | 20,00    | 100,0 %       
Cliente 13  | Instalación 10  | 20,00   | 20,00    | 100,0 %       
Cliente 14  | Instalación 107 | 20,00   | 20,00    | 100,0 %       
Cliente 15  | Instalación 29  | 15,00   | 15,00    | 100,0 %       
Cliente 16  | Instalación 7   | 9,00    | 9,00     | 100,0 %       
Cliente 17  | Instalación 24  | 15,00   | 15,00    | 100,0 %       
Cliente 18  | Instalación 79  | 9,00    | 9,00     | 100,0 %       
Cliente 19  | Instalación 108 | 18,00   | 18,00    | 100,0 %       
Cliente 20  | Instalación 15  | 5,00    | 5,00     | 100,0 %       
Cliente 21  | Instalación 35  | 6,00    | 6,00     | 100,0 %       
Cliente 22  | Instalación 11  | 14,00   | 14,00    | 100,0 %       
Cliente 23  | Instalación 31  | 17,00   | 17,00    | 100,0 %       
Cliente 24  | Instalación 111 | 5,00    | 5,00     | 100,0 %       
Cliente 25  | Instalación 78  | 9,00    | 9,00     | 100,0 %       
Cliente 26  | Instalación 5   | 14,00   | 14,00    | 100,0 %       
Cliente 27  | Instalación 78  | 11,00   | 11,00    | 100,0 %       
Cliente 28  | Instalación 51  | 11,00   | 11,00    | 100,0 %       
Cliente 29  | Instalación 4   | 8,00    | 8,00     | 100,0 %       
Cliente 30  | Instalación 6   | 16,00   | 16,00    | 100,0 %       
Cliente 31  | Instalación 69  | 17,00   | 17,00    | 100,0 %       
Cliente 32  | Instalación 110 | 18,00   | 18,00    | 100,0 %       
Cliente 33  | Instalación 106 | 16,00   | 16,00    | 100,0 %       
Cliente 34  | Instalación 94  | 8,00    | 8,00     | 100,0 %       
Cliente 35  | Instalación 2   | 6,00    | 6,00     | 100,0 %       
Cliente 36  | Instalación 5   | 8,00    | 8,00     | 100,0 %       
Cliente 37  | Instalación 36  | 11,00   | 11,00    | 100,0 %       
Cliente 38  | Instalación 8   | 10,00   | 10,00    | 100,0 %       
Cliente 39  | Instalación 31  | 18,00   | 18,00    | 100,0 %       
Cliente 40  | Instalación 26  | 6,00    | 6,00     | 100,0 %       
Cliente 41  | Instalación 123 | 16,00   | 16,00    | 100,0 %       
Cliente 42  | Instalación 21  | 17,00   | 17,00    | 100,0 %       
Cliente 43  | Instalación 65  | 8,00    | 8,00     | 100,0 %       
Cliente 44  | Instalación 70  | 16,00   | 16,00    | 100,0 %       
Cliente 45  | Instalación 15  | 12,00   | 12,00    | 100,0 %       
Cliente 46  | Instalación 132 | 15,00   | 15,00    | 100,0 %       
Cliente 47  | Instalación 88  | 18,00   | 18,00    | 100,0 %       
Cliente 48  | Instalación 84  | 11,00   | 11,00    | 100,0 %       
Cliente 49  | Instalación 104 | 8,00    | 8,00     | 100,0 %       
Cliente 50  | Instalación 24  | 13,00   | 13,00    | 100,0 %       
Cliente 51  | Instalación 15  | 5,00    | 5,00     | 100,0 %       
Cliente 52  | Instalación 5   | 19,00   | 19,00    | 100,0 %       
Cliente 53  | Instalación 67  | 9,00    | 9,00     | 100,0 %       
Cliente 54  | Instalación 99  | 17,00   | 17,00    | 100,0 %       
Cliente 55  | Instalación 123 | 5,00    | 5,00     | 100,0 %       
Cliente 56  | Instalación 78  | 8,00    | 8,00     | 100,0 %       
Cliente 57  | Instalación 46  | 10,00   | 10,00    | 100,0 %       
Cliente 58  | Instalación 132 | 15,00   | 15,00    | 100,0 %       
Cliente 59  | Instalación 29  | 17,00   | 17,00    | 100,0 %       
Cliente 60  | Instalación 127 | 18,00   | 18,00    | 100,0 %       
Cliente 61  | Instalación 111 | 16,00   | 16,00    | 100,0 %       
Cliente 62  | Instalación 93  | 11,00   | 11,00    | 100,0 %       
Cliente 63  | Instalación 129 | 10,00   | 10,00    | 100,0 %       
Cliente 64  | Instalación 111 | 12,00   | 12,00    | 100,0 %       
Cliente 65  | Instalación 7   | 14,00   | 14,00    | 100,0 %       
Cliente 66  | Instalación 78  | 13,00   | 13,00    | 100,0 %       
Cliente 67  | Instalación 44  | 8,00    | 8,00     | 100,0 %       
Cliente 68  | Instalación 24  | 12,00   | 12,00    | 100,0 %       
Cliente 69  | Instalación 61  | 10,00   | 10,00    | 100,0 %       
Cliente 70  | Instalación 0   | 10,00   | 10,00    | 100,0 %       
Cliente 71  | Instalación 39  | 9,00    | 9,00     | 100,0 %       
Cliente 72  | Instalación 84  | 15,00   | 15,00    | 100,0 %       
Cliente 73  | Instalación 60  | 13,00   | 13,00    | 100,0 %       
Cliente 74  | Instalación 111 | 12,00   | 12,00    | 100,0 %       
Cliente 75  | Instalación 67  | 15,00   | 15,00    | 100,0 %       
Cliente 76  | Instalación 104 | 8,00    | 8,00     | 100,0 %       
Cliente 77  | Instalación 147 | 14,00   | 14,00    | 100,0 %       
Cliente 78  | Instalación 24  | 12,00   | 12,00    | 100,0 %       
Cliente 79  | Instalación 141 | 13,00   | 13,00    | 100,0 %       
Cliente 80  | Instalación 4   | 13,00   | 13,00    | 100,0 %       
Cliente 81  | Instalación 81  | 16,00   | 16,00    | 100,0 %       
Cliente 82  | Instalación 4   | 5,00    | 5,00     | 100,0 %       
Cliente 83  | Instalación 26  | 16,00   | 16,00    | 100,0 %       
Cliente 84  | Instalación 46  | 16,00   | 16,00    | 100,0 %       
Cliente 85  | Instalación 128 | 14,00   | 14,00    | 100,0 %       
Cliente 86  | Instalación 5   | 8,00    | 8,00     | 100,0 %       
Cliente 87  | Instalación 46  | 10,00   | 10,00    | 100,0 %       
Cliente 88  | Instalación 44  | 11,00   | 11,00    | 100,0 %       
Cliente 89  | Instalación 112 | 12,00   | 12,00    | 100,0 %       
Cliente 90  | Instalación 43  | 5,00    | 5,00     | 100,0 %       
Cliente 91  | Instalación 92  | 16,00   | 16,00    | 100,0 %       
Cliente 92  | Instalación 63  | 5,00    | 5,00     | 100,0 %       
Cliente 93  | Instalación 35  | 14,00   | 14,00    | 100,0 %       
Cliente 94  | Instalación 111 | 9,00    | 9,00     | 100,0 %       
Cliente 95  | Instalación 97  | 15,00   | 15,00    | 100,0 %       
Cliente 96  | Instalación 94  | 12,00   | 12,00    | 100,0 %       
Cliente 97  | Instalación 39  | 10,00   | 10,00    | 100,0 %       
Cliente 98  | Instalación 133 | 10,00   | 10,00    | 100,0 %       
Cliente 99  | Instalación 8   | 6,00    | 6,00     | 100,0 %       
Cliente 100 | Instalación 8   | 12,00   | 12,00    | 100,0 %       
Cliente 101 | Instalación 80  | 17,00   | 17,00    | 100,0 %       
