
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación     | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+-----------------+--------------+--------------------+---------
Cliente 0   | Instalación 51  | 9,00         | 6,00               | 54,00   
Cliente 1   | Instalación 0   | 20,00        | 7,00               | 140,00  
Cliente 2   | Instalación 4   | 20,00        | 6,00               | 120,00  
Cliente 3   | Instalación 113 | 12,00        | 1,00               | 12,00   
Cliente 4   | Instalación 90  | 5,00         | 7,00               | 35,00   
Cliente 5   | Instalación 110 | 11,00        | 8,00               | 88,00   
Cliente 6   | Instalación 51  | 17,00        | 1,00               | 17,00   
Cliente 7   | Instalación 35  | 8,00         | 4,00               | 32,00   
Cliente 8   | Instalación 100 | 15,00        | 4,00               | 60,00   
Cliente 9   | Instalación 137 | 16,00        | 5,00               | 80,00   
Cliente 10  | Instalación 48  | 6,00         | 5,00               | 30,00   
Cliente 11  | Instalación 103 | 19,00        | 9,00               | 171,00  
Cliente 12  | Instalación 42  | 20,00        | 8,00               | 160,00  
Cliente 13  | Instalación 10  | 20,00        | 3,00               | 60,00   
Cliente 14  | Instalación 107 | 20,00        | 8,00               | 160,00  
Cliente 15  | Instalación 29  | 15,00        | 6,00               | 90,00   
Cliente 16  | Instalación 7   | 9,00         | 3,00               | 27,00   
Cliente 17  | Instalación 24  | 15,00        | 1,00               | 15,00   
Cliente 18  | Instalación 79  | 9,00         | 6,00               | 54,00   
Cliente 19  | Instalación 108 | 18,00        | 17,00              | 306,00  
Cliente 20  | Instalación 15  | 5,00         | 5,00               | 25,00   
Cliente 21  | Instalación 35  | 6,00         | 7,00               | 42,00   
Cliente 22  | Instalación 11  | 14,00        | 2,00               | 28,00   
Cliente 23  | Instalación 31  | 17,00        | 8,00               | 136,00  
Cliente 24  | Instalación 111 | 5,00         | 4,00               | 20,00   
Cliente 25  | Instalación 78  | 9,00         | 4,00               | 36,00   
Cliente 26  | Instalación 5   | 14,00        | 8,00               | 112,00  
Cliente 27  | Instalación 78  | 11,00        | 1,00               | 11,00   
Cliente 28  | Instalación 51  | 11,00        | 5,00               | 55,00   
Cliente 29  | Instalación 4   | 8,00         | 1,00               | 8,00    
Cliente 30  | Instalación 6   | 16,00        | 9,00               | 144,00  
Cliente 31  | Instalación 69  | 17,00        | 3,00               | 51,00   
Cliente 32  | Instalación 110 | 18,00        | 5,00               | 90,00   
Cliente 33  | Instalación 106 | 16,00        | 10,00              | 160,00  
Cliente 34  | Instalación 94  | 8,00         | 7,00               | 56,00   
Cliente 35  | Instalación 2   | 6,00         | 14,00              | 84,00   
Cliente 36  | Instalación 5   | 8,00         | 1,00               | 8,00    
Cliente 37  | Instalación 36  | 11,00        | 6,00               | 66,00   
Cliente 38  | Instalación 8   | 10,00        | 3,00               | 30,00   
Cliente 39  | Instalación 31  | 18,00        | 4,00               | 72,00   
Cliente 40  | Instalación 26  | 6,00         | 3,00               | 18,00   
Cliente 41  | Instalación 123 | 16,00        | 8,00               | 128,00  
Cliente 42  | Instalación 21  | 17,00        | 7,00               | 119,00  
Cliente 43  | Instalación 65  | 8,00         | 8,00               | 64,00   
Cliente 44  | Instalación 70  | 16,00        | 2,00               | 32,00   
Cliente 45  | Instalación 15  | 12,00        | 4,00               | 48,00   
