
--- TABLA 6: VERIFICACIÓN DE RESTRICCIONES ---
Capacidad
Instalación    | Carga Total | Capacidad | Estado 
---------------+-------------+-----------+--------
Instalación 0  | 0,00        | 100,00    | ✓OK    
Instalación 1  | 0,00        | 60,00     | ✓OK    
Instalación 2  | 0,00        | 100,00    | ✓OK    
Instalación 3  | 50,00       | 50,00     | ✓Límite
Instalación 4  | 0,00        | 80,00     | ✓OK    
Instalación 5  | 48,00       | 50,00     | ✓OK    
Instalación 6  | 0,00        | 60,00     | ✓OK    
Instalación 7  | 88,00       | 90,00     | ✓OK    
Instalación 8  | 98,00       | 100,00    | ✓OK    
Instalación 9  | 49,00       | 50,00     | ✓OK    
Instalación 10 | 0,00        | 40,00     | ✓OK    
Instalación 11 | 0,00        | 70,00     | ✓OK    
Instalación 12 | 30,00       | 30,00     | ✓Límite
Instalación 13 | 58,00       | 60,00     | ✓OK    
Instalación 14 | 0,00        | 80,00     | ✓OK    
Instalación 15 | 30,00       | 30,00     | ✓Límite
Instalación 16 | 0,00        | 100,00    | ✓OK    
Instalación 17 | 41,00       | 50,00     | ✓OK    
Instalación 18 | 80,00       | 80,00     | ✓Límite
Instalación 19 | 0,00        | 100,00    | ✓OK    
Instalación 20 | 0,00        | 30,00     | ✓OK    
Instalación 21 | 30,00       | 30,00     | ✓Límite
Instalación 22 | 0,00        | 100,00    | ✓OK    
Instalación 23 | 49,00       | 70,00     | ✓OK    
Instalación 24 | 95,00       | 100,00    | ✓OK    
Instalación 25 | 0,00        | 80,00     | ✓OK    
Instalación 26 | 63,00       | 80,00     | ✓OK    
Instalación 27 | 0,00        | 90,00     | ✓OK    
Instalación 28 | 28,00       | 30,00     | ✓OK    
Instalación 29 | 0,00        | 90,00     | ✓OK    
Instalación 30 | 85,00       | 90,00     | ✓OK    
Instalación 31 | 0,00        | 90,00     | ✓OK    
Instalación 32 | 50,00       | 50,00     | ✓Límite
Instalación 33 | 40,00       | 40,00     | ✓Límite
Instalación 34 | 0,00        | 60,00     | ✓OK    
Instalación 35 | 37,00       | 40,00     | ✓OK    
Instalación 36 | 90,00       | 90,00     | ✓Límite
Instalación 37 | 55,00       | 80,00     | ✓OK    
Instalación 38 | 47,00       | 50,00     | ✓OK    
Instalación 39 | 60,00       | 60,00     | ✓Límite
Instalación 40 | 0,00        | 100,00    | ✓OK    
Instalación 41 | 40,00       | 40,00     | ✓Límite
Instalación 42 | 39,00       | 40,00     | ✓OK    
Instalación 43 | 54,00       | 60,00     | ✓OK    
Instalación 44 | 77,00       | 80,00     | ✓OK    
Instalación 45 | 0,00        | 90,00     | ✓OK    
Instalación 46 | 46,00       | 50,00     | ✓OK    
Instalación 47 | 0,00        | 30,00     | ✓OK    
Instalación 48 | 0,00        | 50,00     | ✓OK    
Instalación 49 | 73,00       | 90,00     | ✓OK    
Instalación 50 | 0,00        | 70,00     | ✓OK    
Instalación 51 | 100,00      | 100,00    | ✓Límite
Instalación 52 | 30,00       | 30,00     | ✓Límite
Instalación 53 | 0,00        | 70,00     | ✓OK    
Instalación 54 | 57,00       | 60,00     | ✓OK    
Instalación 55 | 40,00       | 40,00     | ✓Límite
Instalación 56 | 57,00       | 60,00     | ✓OK    
Instalación 57 | 0,00        | 90,00     | ✓OK    
Instalación 58 | 47,00       | 50,00     | ✓OK    
Instalación 59 | 0,00        | 50,00     | ✓OK    
Instalación 60 | 94,00       | 100,00    | ✓OK    
Instalación 61 | 30,00       | 30,00     | ✓Límite
Instalación 62 | 0,00        | 60,00     | ✓OK    
Instalación 63 | 0,00        | 60,00     | ✓OK    
Instalación 64 | 89,00       | 90,00     | ✓OK    
Instalación 65 | 0,00        | 50,00     | ✓OK    
Instalación 66 | 37,00       | 40,00     | ✓OK    
Instalación 67 | 0,00        | 80,00     | ✓OK    
Instalación 68 | 0,00        | 90,00     | ✓OK    
Instalación 69 | 67,00       | 80,00     | ✓OK    
Instalación 70 | 100,00      | 100,00    | ✓Límite
Instalación 71 | 32,00       | 40,00     | ✓OK    
