
--- TABLA 4: SOLUCIÓN DE APERTURA DE INSTALACIONES ---
Instalación    | Estado  | Coste Fijo
---------------+---------+-----------
Instalación 0  | Cerrada | 0,00      
Instalación 1  | Cerrada | 0,00      
Instalación 2  | Cerrada | 0,00      
Instalación 3  | Abierta | 400,00    
Instalación 4  | Cerrada | 0,00      
Instalación 5  | Abierta | 360,00    
Instalación 6  | Cerrada | 0,00      
Instalación 7  | Abierta | 970,00    
Instalación 8  | Abierta | 1060,00   
Instalación 9  | Abierta | 510,00    
Instalación 10 | Cerrada | 0,00      
Instalación 11 | Cerrada | 0,00      
Instalación 12 | Abierta | 380,00    
Instalación 13 | Abierta | 510,00    
Instalación 14 | Cerrada | 0,00      
Instalación 15 | Abierta | 340,00    
Instalación 16 | Cerrada | 0,00      
Instalación 17 | Abierta | 430,00    
Instalación 18 | Abierta | 820,00    
Instalación 19 | Cerrada | 0,00      
Instalación 20 | Cerrada | 0,00      
Instalación 21 | Abierta | 270,00    
Instalación 22 | Cerrada | 0,00      
Instalación 23 | Abierta | 640,00    
Instalación 24 | Abierta | 1030,00   
Instalación 25 | Cerrada | 0,00      
Instalación 26 | Abierta | 830,00    
Instalación 27 | Cerrada | 0,00      
Instalación 28 | Abierta | 210,00    
Instalación 29 | Cerrada | 0,00      
Instalación 30 | Abierta | 970,00    
Instalación 31 | Cerrada | 0,00      
Instalación 32 | Abierta | 570,00    
Instalación 33 | Abierta | 440,00    
Instalación 34 | Cerrada | 0,00      
Instalación 35 | Abierta | 340,00    
Instalación 36 | Abierta | 1030,00   
Instalación 37 | Abierta | 880,00    
Instalación 38 | Abierta | 380,00    
Instalación 39 | Abierta | 750,00    
Instalación 40 | Cerrada | 0,00      
Instalación 41 | Abierta | 320,00    
Instalación 42 | Abierta | 470,00    
Instalación 43 | Abierta | 650,00    
Instalación 44 | Abierta | 1030,00   
Instalación 45 | Cerrada | 0,00      
Instalación 46 | Abierta | 380,00    
Instalación 47 | Cerrada | 0,00      
Instalación 48 | Cerrada | 0,00      
Instalación 49 | Abierta | 1130,00   
Instalación 50 | Cerrada | 0,00      
Instalación 51 | Abierta | 830,00    
Instalación 52 | Abierta | 330,00    
Instalación 53 | Cerrada | 0,00      
Instalación 54 | Abierta | 650,00    
Instalación 55 | Abierta | 300,00    
Instalación 56 | Abierta | 530,00    
Instalación 57 | Cerrada | 0,00      
Instalación 58 | Abierta | 590,00    
Instalación 59 | Cerrada | 0,00      
Instalación 60 | Abierta | 1070,00   
Instalación 61 | Abierta | 270,00    
Instalación 62 | Cerrada | 0,00      
Instalación 63 | Cerrada | 0,00      
Instalación 64 | Abierta | 810,00    
Instalación 65 | Cerrada | 0,00      
Instalación 66 | Abierta | 320,00    
Instalación 67 | Cerrada | 0,00      
Instalación 68 | Cerrada | 0,00      
Instalación 69 | Abierta | 730,00    
Instalación 70 | Abierta | 990,00    
Instalación 71 | Abierta | 440,00    
Instalación 72 | Cerrada | 0,00      
Instalación 73 | Cerrada | 0,00      
Instalación 74 | Cerrada | 0,00      
Instalación 75 | Cerrada | 0,00      
Instalación 76 | Abierta | 300,00    
Instalación 77 | Abierta | 1030,00   
Instalación 78 | Cerrada | 0,00      
Instalación 79 | Abierta | 440,00    
Instalación 80 | Cerrada | 0,00      
Instalación 81 | Abierta | 510,00    
Instalación 82 | Cerrada | 0,00      
Instalación 83 | Abierta | 860,00    
Instalación 84 | Cerrada | 0,00      
Instalación 85 | Cerrada | 0,00      
Instalación 86 | Cerrada | 0,00      
Instalación 87 | Abierta | 340,00    
Instalación 88 | Cerrada | 0,00      
Instalación 89 | Abierta | 360,00    
Instalación 90 | Abierta | 670,00    
Instalación 91 | Abierta | 560,00    
Instalación 92 | Abierta | 650,00    
Instalación 93 | Cerrada | 0,00      
Instalación 94 | Abierta | 640,00    
Instalación 95 | Cerrada | 0,00      
Instalación 96 | Abierta | 870,00    
Instalación 97 | Abierta | 760,00    
Instalación 98 | Cerrada | 0,00      
Instalación 99 | Abierta | 350,00    
TOTAL          |         | 34300,00  
