
--- TABLA 7: DESGLOSE DETALLADO DE COSTES VARIABLES DE TRANSPORTE ---
Cliente     | Instalación    | Cantidad (q) | Coste Unitario (c) | Subtotal
------------+----------------+--------------+--------------------+---------
Cliente 0   | Instalación 20 | 18,00        | 14,00              | 252,00  
Cliente 1   | Instalación 44 | 9,00         | 3,00               | 27,00   
Cliente 2   | Instalación 32 | 20,00        | 16,00              | 320,00  
Cliente 3   | Instalación 6  | 13,00        | 6,00               | 78,00   
Cliente 4   | Instalación 41 | 12,00        | 8,00               | 96,00   
Cliente 5   | Instalación 6  | 11,00        | 5,00               | 55,00   
Cliente 6   | Instalación 19 | 9,00         | 11,00              | 99,00   
Cliente 7   | Instalación 26 | 5,00         | 16,00              | 80,00   
Cliente 8   | Instalación 27 | 9,00         | 6,00               | 54,00   
Cliente 9   | Instalación 48 | 10,00        | 10,00              | 100,00  
Cliente 10  | Instalación 21 | 8,00         | 13,00              | 104,00  
Cliente 10  | Instalación 31 | 9,00         | 15,00              | 135,00  
Cliente 11  | Instalación 42 | 20,00        | 13,00              | 260,00  
Cliente 12  | Instalación 26 | 17,00        | 9,00               | 153,00  
Cliente 13  | Instalación 4  | 17,00        | 10,00              | 170,00  
Cliente 14  | Instalación 18 | 17,00        | 5,00               | 85,00   
Cliente 15  | Instalación 21 | 12,00        | 10,00              | 120,00  
Cliente 16  | Instalación 18 | 7,00         | 11,00              | 77,00   
Cliente 17  | Instalación 33 | 7,00         | 6,00               | 42,00   
Cliente 18  | Instalación 6  | 5,00         | 13,00              | 65,00   
Cliente 19  | Instalación 49 | 9,00         | 8,00               | 72,00   
Cliente 20  | Instalación 40 | 7,00         | 15,00              | 105,00  
Cliente 21  | Instalación 45 | 4,00         | 7,00               | 28,00   
Cliente 21  | Instalación 47 | 5,00         | 4,00               | 20,00   
Cliente 22  | Instalación 24 | 12,00        | 10,00              | 120,00  
Cliente 23  | Instalación 32 | 12,00        | 7,00               | 84,00   
Cliente 24  | Instalación 26 | 2,00         | 8,00               | 16,00   
Cliente 24  | Instalación 49 | 15,00        | 11,00              | 165,00  
Cliente 25  | Instalación 45 | 13,00        | 8,00               | 104,00  
Cliente 26  | Instalación 33 | 10,00        | 9,00               | 90,00   
Cliente 27  | Instalación 42 | 4,00         | 6,00               | 24,00   
Cliente 27  | Instalación 48 | 15,00        | 9,00               | 135,00  
Cliente 28  | Instalación 31 | 11,00        | 4,00               | 44,00   
Cliente 29  | Instalación 29 | 15,00        | 13,00              | 195,00  
Cliente 30  | Instalación 48 | 7,00         | 9,00               | 63,00   
Cliente 31  | Instalación 29 | 7,00         | 4,00               | 28,00   
Cliente 32  | Instalación 23 | 8,00         | 16,00              | 128,00  
Cliente 32  | Instalación 24 | 11,00        | 17,00              | 187,00  
Cliente 33  | Instalación 44 | 5,00         | 4,00               | 20,00   
Cliente 34  | Instalación 26 | 8,00         | 10,00              | 80,00   
Cliente 34  | Instalación 41 | 12,00        | 10,00              | 120,00  
Cliente 35  | Instalación 49 | 8,00         | 4,00               | 32,00   
Cliente 36  | Instalación 41 | 14,00        | 4,00               | 56,00   
Cliente 37  | Instalación 40 | 12,00        | 5,00               | 60,00   
Cliente 38  | Instalación 21 | 9,00         | 13,00              | 117,00  
Cliente 39  | Instalación 34 | 19,00        | 5,00               | 95,00   
Cliente 40  | Instalación 20 | 9,00         | 21,00              | 189,00  
Cliente 41  | Instalación 20 | 16,00        | 15,00              | 240,00  
Cliente 42  | Instalación 18 | 6,00         | 11,00              | 66,00   
Cliente 42  | Instalación 45 | 13,00        | 16,00              | 208,00  
Cliente 43  | Instalación 40 | 7,00         | 10,00              | 70,00   
Cliente 44  | Instalación 2  | 8,00         | 12,00              | 96,00   
Cliente 44  | Instalación 19 | 2,00         | 14,00              | 28,00   
Cliente 45  | Instalación 38 | 5,00         | 14,00              | 70,00   
Cliente 46  | Instalación 24 | 14,00        | 7,00               | 98,00   
Cliente 47  | Instalación 13 | 8,00         | 10,00              | 80,00   
Cliente 48  | Instalación 23 | 5,00         | 7,00               | 35,00   
Cliente 49  | Instalación 26 | 20,00        | 7,00               | 140,00  
Cliente 50  | Instalación 33 | 13,00        | 13,00              | 169,00  
Cliente 51  | Instalación 45 | 18,00        | 14,00              | 252,00  
Cliente 52  | Instalación 29 | 5,00         | 5,00               | 25,00   
Cliente 53  | Instalación 47 | 8,00         | 4,00               | 32,00   
Cliente 54  | Instalación 49 | 16,00        | 3,00               | 48,00   
Cliente 55  | Instalación 2  | 17,00        | 6,00               | 102,00  
Cliente 56  | Instalación 42 | 5,00         | 6,00               | 30,00   
Cliente 57  | Instalación 38 | 14,00        | 1,00               | 14,00   
Cliente 58  | Instalación 21 | 11,00        | 4,00               | 44,00   
Cliente 59  | Instalación 47 | 17,00        | 3,00               | 51,00   
Cliente 60  | Instalación 6  | 15,00        | 8,00               | 120,00  
Cliente 61  | Instalación 20 | 2,00         | 5,00               | 10,00   
Cliente 61  | Instalación 49 | 5,00         | 12,00              | 60,00   
Cliente 62  | Instalación 40 | 18,00        | 4,00               | 72,00   
Cliente 63  | Instalación 19 | 19,00        | 14,00              | 266,00  
Cliente 64  | Instalación 48 | 18,00        | 19,00              | 342,00  
Cliente 65  | Instalación 38 | 11,00        | 2,00               | 22,00   
Cliente 66  | Instalación 20 | 10,00        | 1,00               | 10,00   
Cliente 67  | Instalación 13 | 16,00        | 6,00               | 96,00   
Cliente 68  | Instalación 24 | 18,00        | 14,00              | 252,00  
Cliente 69  | Instalación 32 | 18,00        | 11,00              | 198,00  
Cliente 70  | Instalación 31 | 16,00        | 10,00              | 160,00  
Cliente 71  | Instalación 7  | 7,00         | 12,00              | 84,00   
Cliente 72  | Instalación 23 | 18,00        | 7,00               | 126,00  
Cliente 73  | Instalación 38 | 19,00        | 1,00               | 19,00   
Cliente 74  | Instalación 4  | 14,00        | 10,00              | 140,00  
Cliente 75  | Instalación 23 | 6,00         | 1,00               | 6,00    
Cliente 76  | Instalación 32 | 6,00         | 18,00              | 108,00  
Cliente 77  | Instalación 31 | 20,00        | 9,00               | 180,00  
Cliente 78  | Instalación 23 | 13,00        | 9,00               | 117,00  
Cliente 79  | Instalación 12 | 15,00        | 7,00               | 105,00  
Cliente 79  | Instalación 38 | 1,00         | 5,00               | 5,00    
Cliente 80  | Instalación 4  | 12,00        | 13,00              | 156,00  
Cliente 81  | Instalación 20 | 11,00        | 21,00              | 231,00  
Cliente 82  | Instalación 26 | 18,00        | 16,00              | 288,00  
Cliente 83  | Instalación 44 | 10,00        | 6,00               | 60,00   
Cliente 84  | Instalación 4  | 7,00         | 9,00               | 63,00   
Cliente 84  | Instalación 31 | 3,00         | 13,00              | 39,00   
Cliente 85  | Instalación 41 | 8,00         | 13,00              | 104,00  
Cliente 86  | Instalación 41 | 18,00        | 9,00               | 162,00  
Cliente 87  | Instalación 27 | 5,00         | 3,00               | 15,00   
Cliente 88  | Instalación 2  | 15,00        | 4,00               | 60,00   
Cliente 89  | Instalación 7  | 17,00        | 9,00               | 153,00  
Cliente 90  | Instalación 12 | 15,00        | 17,00              | 255,00  
Cliente 91  | Instalación 45 | 19,00        | 17,00              | 323,00  
Cliente 92  | Instalación 48 | 17,00        | 11,00              | 187,00  
Cliente 93  | Instalación 27 | 6,00         | 7,00               | 42,00   
Cliente 94  | Instalación 48 | 20,00        | 4,00               | 80,00   
Cliente 95  | Instalación 29 | 12,00        | 11,00              | 132,00  
Cliente 96  | Instalación 29 | 15,00        | 8,00               | 120,00  
Cliente 97  | Instalación 47 | 10,00        | 5,00               | 50,00   
Cliente 98  | Instalación 20 | 14,00        | 3,00               | 42,00   
Cliente 99  | Instalación 42 | 15,00        | 7,00               | 105,00  
Cliente 100 | Instalación 6  | 16,00        | 8,00               | 128,00  
Cliente 101 | Instalación 24 | 11,00        | 6,00               | 66,00   
Cliente 102 | Instalación 13 | 12,00        | 7,00               | 84,00   
Cliente 103 | Instalación 13 | 4,00         | 7,00               | 28,00   
Cliente 103 | Instalación 34 | 6,00         | 13,00              | 78,00   
Cliente 104 | Instalación 41 | 6,00         | 4,00               | 24,00   
Cliente 105 | Instalación 29 | 14,00        | 7,00               | 98,00   
Cliente 106 | Instalación 7  | 9,00         | 26,00              | 234,00  
Cliente 106 | Instalación 48 | 7,00         | 30,00              | 210,00  
Cliente 107 | Instalación 7  | 13,00        | 5,00               | 65,00   
Cliente 108 | Instalación 49 | 6,00         | 5,00               | 30,00   
Cliente 109 | Instalación 21 | 10,00        | 11,00              | 110,00  
Cliente 110 | Instalación 21 | 20,00        | 13,00              | 260,00  
Cliente 111 | Instalación 23 | 10,00        | 15,00              | 150,00  
Cliente 112 | Instalación 31 | 8,00         | 16,00              | 128,00  
Cliente 113 | Instalación 32 | 14,00        | 20,00              | 280,00  
Cliente 114 | Instalación 42 | 16,00        | 9,00               | 144,00  
TOTAL       |                |              |                    | 13929,00
