
--- TABLA 1: PARÁMETROS DE LA INSTANCIA ---
Instalaciones (Facilities)
ID | Coste Fijo (fj) | Capacidad (sj)
----+-----------------+---------------
0  | 910,00          | 90,00         
1  | 350,00          | 40,00         
2  | 350,00          | 40,00         
3  | 810,00          | 90,00         
4  | 530,00          | 50,00         
5  | 1210,00         | 100,00        
6  | 780,00          | 60,00         
7  | 510,00          | 50,00         
8  | 730,00          | 100,00        
9  | 460,00          | 50,00         
10 | 950,00          | 90,00         
11 | 340,00          | 30,00         
12 | 360,00          | 30,00         
13 | 390,00          | 40,00         
14 | 560,00          | 50,00         
15 | 750,00          | 70,00         
16 | 930,00          | 100,00        
17 | 710,00          | 60,00         
18 | 350,00          | 30,00         
19 | 420,00          | 50,00         
20 | 590,00          | 80,00         
21 | 590,00          | 70,00         
22 | 1050,00         | 100,00        
23 | 570,00          | 60,00         
24 | 510,00          | 70,00         
25 | 320,00          | 40,00         
26 | 890,00          | 70,00         
27 | 360,00          | 40,00         
28 | 1120,00         | 100,00        
29 | 920,00          | 80,00         
30 | 980,00          | 80,00         
31 | 490,00          | 70,00         
32 | 910,00          | 80,00         
33 | 290,00          | 30,00         
34 | 370,00          | 30,00         
35 | 870,00          | 90,00         
36 | 460,00          | 40,00         
37 | 760,00          | 60,00         
38 | 470,00          | 50,00         
39 | 1060,00         | 100,00        
40 | 440,00          | 60,00         
41 | 760,00          | 70,00         
42 | 480,00          | 60,00         
43 | 850,00          | 90,00         
44 | 280,00          | 30,00         
45 | 1020,00         | 80,00         
46 | 630,00          | 70,00         
47 | 280,00          | 40,00         
48 | 940,00          | 100,00        
49 | 740,00          | 80,00         

Clientes (Customers)
ID  | Demanda (di) | Incompatibilidad
----+--------------+-----------------
0   | 18,00        | -               
1   | 9,00         | -               
2   | 20,00        | -               
3   | 13,00        | -               
4   | 12,00        | -               
5   | 11,00        | -               
6   | 9,00         | -               
7   | 5,00         | -               
8   | 9,00         | -               
9   | 10,00        | -               
10  | 17,00        | -               
11  | 20,00        | -               
12  | 17,00        | -               
13  | 17,00        | -               
14  | 17,00        | -               
15  | 12,00        | -               
16  | 7,00         | -               
17  | 7,00         | -               
18  | 5,00         | -               
19  | 9,00         | -               
20  | 7,00         | -               
21  | 9,00         | -               
22  | 12,00        | -               
23  | 12,00        | -               
24  | 17,00        | -               
25  | 13,00        | -               
26  | 10,00        | -               
27  | 19,00        | -               
28  | 11,00        | -               
29  | 15,00        | -               
30  | 7,00         | -               
31  | 7,00         | -               
32  | 19,00        | -               
33  | 5,00         | -               
34  | 20,00        | -               
35  | 8,00         | -               
36  | 14,00        | -               
37  | 12,00        | -               
38  | 9,00         | -               
39  | 19,00        | -               
40  | 9,00         | -               
41  | 16,00        | -               
42  | 19,00        | -               
43  | 7,00         | -               
44  | 10,00        | -               
45  | 5,00         | -               
46  | 14,00        | -               
47  | 8,00         | -               
48  | 5,00         | -               
49  | 20,00        | -               
50  | 13,00        | -               
51  | 18,00        | -               
52  | 5,00         | -               
53  | 8,00         | -               
54  | 16,00        | -               
55  | 17,00        | -               
56  | 5,00         | -               
57  | 14,00        | -               
58  | 11,00        | -               
59  | 17,00        | -               
60  | 15,00        | -               
61  | 7,00         | -               
62  | 18,00        | -               
63  | 19,00        | -               
64  | 18,00        | -               
65  | 11,00        | -               
66  | 10,00        | -               
67  | 16,00        | -               
68  | 18,00        | -               
69  | 18,00        | -               
70  | 16,00        | -               
71  | 7,00         | -               
72  | 18,00        | -               
73  | 19,00        | -               
74  | 14,00        | -               
75  | 6,00         | -               
76  | 6,00         | -               
77  | 20,00        | -               
78  | 13,00        | -               
79  | 16,00        | -               
80  | 12,00        | -               
81  | 11,00        | -               
82  | 18,00        | -               
83  | 10,00        | -               
84  | 10,00        | -               
85  | 8,00         | -               
86  | 18,00        | -               
87  | 5,00         | -               
88  | 15,00        | -               
89  | 17,00        | -               
90  | 15,00        | -               
91  | 19,00        | -               
92  | 17,00        | -               
93  | 6,00         | -               
94  | 20,00        | -               
95  | 12,00        | -               
96  | 15,00        | -               
97  | 10,00        | -               
98  | 14,00        | -               
99  | 15,00        | -               
100 | 16,00        | -               
101 | 11,00        | -               
102 | 12,00        | -               
103 | 10,00        | -               
104 | 6,00         | -               
105 | 14,00        | -               
106 | 16,00        | -               
107 | 13,00        | -               
108 | 6,00         | -               
109 | 10,00        | -               
110 | 20,00        | -               
111 | 10,00        | -               
112 | 8,00         | -               
113 | 14,00        | -               
114 | 16,00        | -               
