
--- TABLA 5: DETALLE DE ASIGNACIÓN DE CLIENTES ---
Cliente     | Instalación    | Demanda | Asignada | Porcentaje (%)
------------+----------------+---------+----------+---------------
Cliente 0   | Instalación 20 | 18,00   | 18,00    | 100,0 %       
Cliente 1   | Instalación 44 | 9,00    | 9,00     | 100,0 %       
Cliente 2   | Instalación 32 | 20,00   | 20,00    | 100,0 %       
Cliente 3   | Instalación 6  | 13,00   | 13,00    | 100,0 %       
Cliente 4   | Instalación 41 | 12,00   | 12,00    | 100,0 %       
Cliente 5   | Instalación 6  | 11,00   | 11,00    | 100,0 %       
Cliente 6   | Instalación 19 | 9,00    | 9,00     | 100,0 %       
Cliente 7   | Instalación 26 | 5,00    | 5,00     | 100,0 %       
Cliente 8   | Instalación 27 | 9,00    | 9,00     | 100,0 %       
Cliente 9   | Instalación 48 | 10,00   | 10,00    | 100,0 %       
Cliente 10  | Instalación 21 | 17,00   | 8,00     | 47,1 %        
Cliente 10  | Instalación 31 | 17,00   | 9,00     | 52,9 %        
Cliente 11  | Instalación 42 | 20,00   | 20,00    | 100,0 %       
Cliente 12  | Instalación 26 | 17,00   | 17,00    | 100,0 %       
Cliente 13  | Instalación 4  | 17,00   | 17,00    | 100,0 %       
Cliente 14  | Instalación 18 | 17,00   | 17,00    | 100,0 %       
Cliente 15  | Instalación 21 | 12,00   | 12,00    | 100,0 %       
Cliente 16  | Instalación 18 | 7,00    | 7,00     | 100,0 %       
Cliente 17  | Instalación 33 | 7,00    | 7,00     | 100,0 %       
Cliente 18  | Instalación 6  | 5,00    | 5,00     | 100,0 %       
Cliente 19  | Instalación 49 | 9,00    | 9,00     | 100,0 %       
Cliente 20  | Instalación 40 | 7,00    | 7,00     | 100,0 %       
Cliente 21  | Instalación 45 | 9,00    | 4,00     | 44,4 %        
Cliente 21  | Instalación 47 | 9,00    | 5,00     | 55,6 %        
Cliente 22  | Instalación 24 | 12,00   | 12,00    | 100,0 %       
Cliente 23  | Instalación 32 | 12,00   | 12,00    | 100,0 %       
Cliente 24  | Instalación 26 | 17,00   | 2,00     | 11,8 %        
Cliente 24  | Instalación 49 | 17,00   | 15,00    | 88,2 %        
Cliente 25  | Instalación 45 | 13,00   | 13,00    | 100,0 %       
Cliente 26  | Instalación 33 | 10,00   | 10,00    | 100,0 %       
Cliente 27  | Instalación 42 | 19,00   | 4,00     | 21,1 %        
Cliente 27  | Instalación 48 | 19,00   | 15,00    | 78,9 %        
Cliente 28  | Instalación 31 | 11,00   | 11,00    | 100,0 %       
Cliente 29  | Instalación 29 | 15,00   | 15,00    | 100,0 %       
Cliente 30  | Instalación 48 | 7,00    | 7,00     | 100,0 %       
Cliente 31  | Instalación 29 | 7,00    | 7,00     | 100,0 %       
Cliente 32  | Instalación 23 | 19,00   | 8,00     | 42,1 %        
Cliente 32  | Instalación 24 | 19,00   | 11,00    | 57,9 %        
Cliente 33  | Instalación 44 | 5,00    | 5,00     | 100,0 %       
Cliente 34  | Instalación 26 | 20,00   | 8,00     | 40,0 %        
Cliente 34  | Instalación 41 | 20,00   | 12,00    | 60,0 %        
Cliente 35  | Instalación 49 | 8,00    | 8,00     | 100,0 %       
Cliente 36  | Instalación 41 | 14,00   | 14,00    | 100,0 %       
Cliente 37  | Instalación 40 | 12,00   | 12,00    | 100,0 %       
Cliente 38  | Instalación 21 | 9,00    | 9,00     | 100,0 %       
Cliente 39  | Instalación 34 | 19,00   | 19,00    | 100,0 %       
Cliente 40  | Instalación 20 | 9,00    | 9,00     | 100,0 %       
Cliente 41  | Instalación 20 | 16,00   | 16,00    | 100,0 %       
Cliente 42  | Instalación 18 | 19,00   | 6,00     | 31,6 %        
Cliente 42  | Instalación 45 | 19,00   | 13,00    | 68,4 %        
Cliente 43  | Instalación 40 | 7,00    | 7,00     | 100,0 %       
Cliente 44  | Instalación 2  | 10,00   | 8,00     | 80,0 %        
Cliente 44  | Instalación 19 | 10,00   | 2,00     | 20,0 %        
Cliente 45  | Instalación 38 | 5,00    | 5,00     | 100,0 %       
Cliente 46  | Instalación 24 | 14,00   | 14,00    | 100,0 %       
Cliente 47  | Instalación 13 | 8,00    | 8,00     | 100,0 %       
Cliente 48  | Instalación 23 | 5,00    | 5,00     | 100,0 %       
Cliente 49  | Instalación 26 | 20,00   | 20,00    | 100,0 %       
Cliente 50  | Instalación 33 | 13,00   | 13,00    | 100,0 %       
Cliente 51  | Instalación 45 | 18,00   | 18,00    | 100,0 %       
Cliente 52  | Instalación 29 | 5,00    | 5,00     | 100,0 %       
Cliente 53  | Instalación 47 | 8,00    | 8,00     | 100,0 %       
Cliente 54  | Instalación 49 | 16,00   | 16,00    | 100,0 %       
Cliente 55  | Instalación 2  | 17,00   | 17,00    | 100,0 %       
Cliente 56  | Instalación 42 | 5,00    | 5,00     | 100,0 %       
Cliente 57  | Instalación 38 | 14,00   | 14,00    | 100,0 %       
Cliente 58  | Instalación 21 | 11,00   | 11,00    | 100,0 %       
Cliente 59  | Instalación 47 | 17,00   | 17,00    | 100,0 %       
Cliente 60  | Instalación 6  | 15,00   | 15,00    | 100,0 %       
Cliente 61  | Instalación 20 | 7,00    | 2,00     | 28,6 %        
Cliente 61  | Instalación 49 | 7,00    | 5,00     | 71,4 %        
Cliente 62  | Instalación 40 | 18,00   | 18,00    | 100,0 %       
Cliente 63  | Instalación 19 | 19,00   | 19,00    | 100,0 %       
Cliente 64  | Instalación 48 | 18,00   | 18,00    | 100,0 %       
Cliente 65  | Instalación 38 | 11,00   | 11,00    | 100,0 %       
Cliente 66  | Instalación 20 | 10,00   | 10,00    | 100,0 %       
Cliente 67  | Instalación 13 | 16,00   | 16,00    | 100,0 %       
Cliente 68  | Instalación 24 | 18,00   | 18,00    | 100,0 %       
Cliente 69  | Instalación 32 | 18,00   | 18,00    | 100,0 %       
Cliente 70  | Instalación 31 | 16,00   | 16,00    | 100,0 %       
Cliente 71  | Instalación 7  | 7,00    | 7,00     | 100,0 %       
Cliente 72  | Instalación 23 | 18,00   | 18,00    | 100,0 %       
Cliente 73  | Instalación 38 | 19,00   | 19,00    | 100,0 %       
Cliente 74  | Instalación 4  | 14,00   | 14,00    | 100,0 %       
Cliente 75  | Instalación 23 | 6,00    | 6,00     | 100,0 %       
Cliente 76  | Instalación 32 | 6,00    | 6,00     | 100,0 %       
Cliente 77  | Instalación 31 | 20,00   | 20,00    | 100,0 %       
Cliente 78  | Instalación 23 | 13,00   | 13,00    | 100,0 %       
Cliente 79  | Instalación 12 | 16,00   | 15,00    | 93,8 %        
Cliente 79  | Instalación 38 | 16,00   | 1,00     | 6,3 %         
Cliente 80  | Instalación 4  | 12,00   | 12,00    | 100,0 %       
Cliente 81  | Instalación 20 | 11,00   | 11,00    | 100,0 %       
Cliente 82  | Instalación 26 | 18,00   | 18,00    | 100,0 %       
Cliente 83  | Instalación 44 | 10,00   | 10,00    | 100,0 %       
Cliente 84  | Instalación 4  | 10,00   | 7,00     | 70,0 %        
Cliente 84  | Instalación 31 | 10,00   | 3,00     | 30,0 %        
Cliente 85  | Instalación 41 | 8,00    | 8,00     | 100,0 %       
Cliente 86  | Instalación 41 | 18,00   | 18,00    | 100,0 %       
Cliente 87  | Instalación 27 | 5,00    | 5,00     | 100,0 %       
Cliente 88  | Instalación 2  | 15,00   | 15,00    | 100,0 %       
Cliente 89  | Instalación 7  | 17,00   | 17,00    | 100,0 %       
Cliente 90  | Instalación 12 | 15,00   | 15,00    | 100,0 %       
Cliente 91  | Instalación 45 | 19,00   | 19,00    | 100,0 %       
Cliente 92  | Instalación 48 | 17,00   | 17,00    | 100,0 %       
Cliente 93  | Instalación 27 | 6,00    | 6,00     | 100,0 %       
Cliente 94  | Instalación 48 | 20,00   | 20,00    | 100,0 %       
Cliente 95  | Instalación 29 | 12,00   | 12,00    | 100,0 %       
Cliente 96  | Instalación 29 | 15,00   | 15,00    | 100,0 %       
Cliente 97  | Instalación 47 | 10,00   | 10,00    | 100,0 %       
Cliente 98  | Instalación 20 | 14,00   | 14,00    | 100,0 %       
Cliente 99  | Instalación 42 | 15,00   | 15,00    | 100,0 %       
Cliente 100 | Instalación 6  | 16,00   | 16,00    | 100,0 %       
Cliente 101 | Instalación 24 | 11,00   | 11,00    | 100,0 %       
Cliente 102 | Instalación 13 | 12,00   | 12,00    | 100,0 %       
Cliente 103 | Instalación 13 | 10,00   | 4,00     | 40,0 %        
Cliente 103 | Instalación 34 | 10,00   | 6,00     | 60,0 %        
Cliente 104 | Instalación 41 | 6,00    | 6,00     | 100,0 %       
Cliente 105 | Instalación 29 | 14,00   | 14,00    | 100,0 %       
Cliente 106 | Instalación 7  | 16,00   | 9,00     | 56,3 %        
Cliente 106 | Instalación 48 | 16,00   | 7,00     | 43,8 %        
Cliente 107 | Instalación 7  | 13,00   | 13,00    | 100,0 %       
Cliente 108 | Instalación 49 | 6,00    | 6,00     | 100,0 %       
Cliente 109 | Instalación 21 | 10,00   | 10,00    | 100,0 %       
Cliente 110 | Instalación 21 | 20,00   | 20,00    | 100,0 %       
Cliente 111 | Instalación 23 | 10,00   | 10,00    | 100,0 %       
Cliente 112 | Instalación 31 | 8,00    | 8,00     | 100,0 %       
Cliente 113 | Instalación 32 | 14,00   | 14,00    | 100,0 %       
Cliente 114 | Instalación 42 | 16,00   | 16,00    | 100,0 %       
